Title,Authors,Author affiliations,Abstract,Funders,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Publication date (Online),Journal,ISSN,Publisher,Volume,Issue,Pages,Subjects,Countries
The roles and potential of lentil prebiotic carbohydrates in human and plant health,"Johnson, Nathan; Johnson, Casey; Thavarajah, Pushparajah; Agrawal, Shiv Kumar; Thavarajah, Dil","International Center for Agricultural Research in the Dry Areas - ICARDA; Clemson University; Mayo Clinic, Mayo Clinic College of Medicine and Science, The Mayo Clinic Alix School of Medicine - MAYO - MCCOMS - MCASOM","Diet‐related ailments, such as obesity and micronutrient deficiencies, have global adverse impacts on society. Lentil is an important staple crop, especially in South Asia and Africa, and has been associated with the prevention of chronic illnesses, including type II diabetes, obesity, and cancer. Lentil, a cool‐season food legume, is rich in protein and micronutrients while also containing a range of prebiotic carbohydrates, such as raffinose family oligosaccharides (RFOs), fructooligosaccharides, sugar alcohols (SAs), and resistant starch (RS), which contribute to lentil's health benefits. Prebiotic carbohydrates are fermented by beneficial microorganisms in the colon, which impart health benefits to the consumer. Prebiotic carbohydrates are also vital to lentil plant health, being associated with carbon transport/storage and abiotic stress tolerance. Important to both human and plant health, prebiotic carbohydrates in lentil are a prominent candidate for nutrigenomic breeding efforts. New lentil cultivars could help to combat global health problems, while also proving resilient to climate change. The objectives of this review are to: (a) discuss the benefits lentil prebiotic carbohydrates confer to human and plant health; (b) describe the biosynthesis pathways of two prominent prebiotic carbohydrate families in lentil, RFOs and SAs; and (c) consider the potential of prebiotic carbohydrates in terms of future nutritional breeding efforts.",CGIAR System Organization - CGIAR,en,https://dx.doi.org/10.1002/ppp3.10103,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/11071,,2020-03-22,Plants People Planet,2572-2611,Wiley Open Access,,,,breeding; health; nutrition; lentils; biosynthesis; lentil; genetics and biosynthesis; prebiotic; raffinose family oligosaccharides (rfos); sugar alcohols (sas),
Seed nutritional quality in lentil (Lens culinaris) under different moisture regimes,"Bansal, Ruchi; Bana, Ram Swaroop; Dikshit, Harsh; Srivastava, Harshita; Priya, Swati; Kumar, Sunil; Aski, Muraleedhar; Kumari, N. K. Prasanna; Gupta, Sanjeev; Agrawal, Shiv Kumar","International Center for Agricultural Research in the Dry Areas - ICARDA; Indian Council of Agricultural Research - ICAR; Indian Council of Agricultural Research, Indian Agricultural Research Institute - ICAR-IARI; Indian Council of Agricultural Research, National Bureau of Plant Genetic Resources - ICAR-NBPGR; National Institute of Science Communication and Policy Research","The world’s most challenging environmental issue is climate change. Agricultural productivity and nutritional quality are both substantially threatened by extreme and unpredicted climate events. To develop climate resilient cultivars, stress tolerance along with the grain quality needs to be  prioritized. Present study was planned to assess the effect of water limitation on seed quality in lentil, a cool season legume crop. A pot experiment was carried out with 20 diverse lentil genotypes grown under normal (80% field capacity) and limited (25% field capacity) soil moisture. Seed protein, Fe, Zn, phytate, protein and yield were recorded in both the conditions. Seed yield and weight were reduced by 38.9 and 12.1%, respectively, in response to stress. Seed protein, Fe, Zn, its availability as well as antioxidant properties also reduced considerably, while genotype dependent variation was noted with respect to seed size traits. Positive correlation was observed between seed yield and antioxidant activity, seed weight and Zn content and availability in stress. Based on principal component analysis and clustering, IG129185, IC559845, IC599829, IC282863, IC361417, IG334, IC560037, P8114 and L5126 were promising genotypes for seed size, Fe and protein content, while, FLIP-96-51, P3211 and IC398019 were promising for yield, Zn and antioxidant capacity. Identified lentil genotypes can be  utilized as trait donors for quality improvement in lentil breeding",CGIAR Research Program on Grain Legumes and Dryland Cereals - GLDC,en,https://dx.doi.org/10.3389/fnut.2023.1141040,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/68754,,2023-06-16,Frontiers in Nutrition,2296-861X,Frontiers Media,10,,,legumes; nutrition; water stress; lentils; biofortification; food; yields; proteins; lentil; legume,
Genetics- and genomics-based interventions for nutritional enhancement of grain legume crops: status and outlook,"Bohra, Abhishek; Sahrawat, Kanwar Lal; Joshi, Rohit; Parihar, Ashok; Singh, Ummed; Singh, Deepak; Singh, Narendra Pratap","International Center for Agricultural Research in the Dry Areas - ICARDA; International Crops Research Institute for the Semi-Arid Tropics - ICRISAT; Indian Council of Agricultural Research, Indian Institute of Pulses Research - ICAR-IIPR; International Centre for Genetic Engineering and Biotechnology","Meeting the food demands and ensuring nutritional security of the ever increasing global population in the face of degrading natural resource base and impending climate change is the biggest challenge of the twenty first century. The consequences of mineral/micronutrient deficiencies or the hidden hunger in the developing world are indeed alarming and need urgent attention. In addressing the problems associated with mineral/micronutrient deficiency, grain legumes as an integral component of the farming systems in the developing world have to play a crucial role. For resource-poor populations, a strategy based on selecting and/or developing grain legume cultivars with grains denser in micronutrients, by biofortification, seems the most appropriate and attractive approach to address the problem. This is evident from the on-going global research efforts on biofortification to provide nutrient-dense grains for use by the poorest of the poor in the developing countries. Towards this end, rapidly growing genomics technologies hold promise to hasten the progress of breeding nutritious legume crops. In conjunction with the myriad of expansions in genomics, advances in other 'omics' technologies particularly plant ionomics or ionome profiling open up novel opportunities to comprehensively examine the elemental composition and mineral networks of an organism in a rapid and cost-effective manner. These emerging technologies would effectively guide the scientific community to enrich the edible parts of grain legumes with bio-available minerals and enhancers/promoters. We believe that the application of these new-generation tools in turn would provide crop-based solutions to hidden hunger worldwide for achieving global nutritional security.",Indian Council of Agricultural Research - ICAR,en,https://dx.doi.org/10.1007/s13353-014-0268-z,Timeless limited access,,https://hdl.handle.net/20.500.11766/12933,,2015-01-16,Journal of Applied Genetics,1234-1983,Springer Heidelberg,56,2,151-161,legumes; malnutrition; genomics; biofortification; legume; hidden hunger; qtl; genetic diversity,
Population structure and regeneration status of Vitellaria Paradoxa (C. F. Gaertner) under different land management regimes in Atacora department,"Aleza, Koutchoukalo; Wala, Kperkouma; Bayala, Jules; Villamor, Grace; Dourma, Marra; Atakpama, Wouyo; Akpagana, Koffi",World Agroforestry Center - ICRAF; University of Lomé - UL; University of Bonn - Uni-Bonn,"Vitellaria paradoxa (shea) parklands are one of the major features of the Sudanian savannah. Besides the parklands importance in terms of provision of ecosystem services, they play a major role in satisfying household subsistence needs. However, the shea trees on farms are under threat due to the increasing population growth, inappropriate agricultural practices and increasing effects of climate change. Thus, we examine the V. paradoxa population structure and its regeneration status in parklands under different land management regimes in four communes of Atacora department in Northern Benin. Dendrometric parameters were measured in five plots of 50 × 50 m in each commune and land management regime and the number of seedling and coppice were assessed. We applied Weibull theoretical model to compare measured and expected diameter classes’ densities. The tallest and largest individuals were recorded in fields while old fallows had the maximum tree density and regeneration across sites. In over-all, the tree densities across sites as well as regeneration were low in fields and young fallows. We also found that the land management regime significantly influenced regeneration particularly the coppices. On the other hand, the distribution of diameter classes showed that shea agroforests was represented by small diameter classes implying a stable and regenerating population in 92 % of visited sites, irrespective of the land management regime. Thus, the state of regeneration in shea parklands appeals for an improvement in the management of juveniles, a guaranty of future stable population.",,en,https://dx.doi.org/10.1007/s10457-015-9787-9,Timeless limited access,Copyrighted; all rights reserved,https://hdl.handle.net/20.500.11766/4555,,2015-01-13,Agroforestry Systems,0167-4366,Springer (part of Springer Nature),89,,511-523,fallow; v. paradoxa; shea agroforests; land management regime,BF
A review of the assessment of sustainable water use at continental-to-global scale,"Joseph, Naveen; Ryu, Dongryeol; Malano, Hector; George, Biju Alummoottil; Kumar, Sudheer","International Center for Agricultural Research in the Dry Areas - ICARDA; The University of Melbourne, Department of Infrastructure Engineering; Indian Institute of Technology Madras, Department of Civil Engineering; The University of Melbourne - UNIMELB","Freshwater scarcity and unsustainable water use are just some of the growing concerns in many parts of the world. Increasing water demand accompanied by a changing climate can lead to unsustainable use of freshwater resulting in water scarcity. Several studies have quantified sustainable water use and water scarcity at a continental-to-global scale in the past. This review focuses on the large-scale water resources assessments and the methods by which sustainable water use and water scarcity are quantified. The review is structured based on a framework that comprises the main components of water demand and supply and other aspects of sustainable water use including virtual water trade and future projections of sustainable water use. The major components of water demand and supply in such assessments are increasingly derived from global earth system models and national-level census datasets. These assessments conclude that the selection of appropriate spatial and temporal scales is critical. The grid-based global earth system models enable better spatial resampling of water information across country/political boundaries. Similarly, by refining the temporal scale from annual (the most commonly used temporal scale of assessment) to monthly time steps, water scarcity is better captured due to the distinctive seasonality of water availability and demand. This paper also discusses the role of major drivers of water scarcity. Although both changing climate and increasing water demand contribute to water scarcity, the majority of the literature concludes that the demand-driven freshwater scarcity has a much greater impact than that induced by climate change.",International Water Management Institute - IWMI,en,https://dx.doi.org/10.1007/s40899-020-00379-7,Timeless limited access,,https://hdl.handle.net/20.500.11766/12030,,2020-02-11,Sustainable Water Resources Management,2363-5037,Springer Nature,6,,,water scarcity; water demand; water footprint; water withdrawal; environmental flow; water consumption; sustainable water use,
"Crops that feed the world 11. Pearl Millet (Pennisetum glaucum L.): an important source of food security, nutrition and health in the arid and semi-arid tropics","Jukanti, A. K .; Gowda, CL Laxmipathi; Rai, K.N.; Manga, Vinod Kumar; Bhatt, R.K.",Central Arid Zone Research Institute  - CAZRI; Global Research-for-development Support Ventures - GRSV; International Crops Research Institute for the Semi-Arid Tropics - ICRISAT,"Pearl millet is a major cereal in the arid and semiarid
regions of Asia and Africa. It is primarily cultivated for
grain production, but its stover is also valued as dry fodder.
Pearl millet is resilient to climate change due to its inherent
adaptability to drought and high temperatures. It is also tolerant
of saline and acid soils, and is well adapted to marginal
lands with low productivity. Pearl millet germplasm exhibits
large genetic variability for yield components; and various
agronomic, adaptation and nutritional traits. Open pollinated
varieties and hybrids are two important cultivar options, but
higher productivity is realized through hybrids. Pearl millet
has fewer pest and disease problems compared to other cereals
and is suited to different cropping systems. It is highly responsive
to improved crop management practices, as witnessed in
parts of India where it is grown as an irrigated summer crop
that produces higher yields and better quality grain. Pearl millet
has high nutritional value in terms of high levels of energy,
dietary fibre, proteins with a balanced amino acid profile,
many essential minerals, some vitamins, and antioxidants.
These play a significant role in prevention of important human
ailments such as diabetes, cancer, cardiovascular and neurodegenerative
diseases. There is great potential for harnessing
these positive attributes through genetic improvement, improved
crop management, and grain processing and food products technologies. These should help to develop greater
global awareness of the importance of this crop for food and
nutritional security",,en,https://dx.doi.org/10.1007/s12571-016-0557-y,Limited access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/6523,,2016-03-08,Food Security,1876-4517,Springer Verlag (Germany),8,2,307-329,health; nutrition; crop management; pearl millet; adaptations; production constraints,IN
"EFFECT OF RAINFALL INTENSITY, SLOPE, LAND USE AND ANTECEDENT SOIL MOISTURE ON SOIL EROSION IN AN ARID ENVIRONMENT","Ziadat, Feras M.; Taimeh, Awni",International Center for Agricultural Research in the Dry Areas - ICARDA; University of Jordan - JU,"Most climate change scenarios predict a significant increase in the frequency of high intensity rainfall events especially in the dry areas, which will increase runoff and soil erosion. Understanding the factors that control soil erosion is crucial to recommending appropriate measures to protect soils and reduce their vulnerability. The objective of this research was to investigate the effect of rainfall intensity, slope, land use and antecedent soil moisture on soil erosion and runoff. Twelve sites from Al-Muwaqqar watershed, Jordan, were selected to represent six slope angles: 1, 2, 3, 5, 7 and 9%. Two sites, one cultivated with barley and one as rangeland, were selected within each slope. Erosion was measured under three rainfall intensities: 3, 5 and 10 mm h−1; and three different antecedent soil moisture contents: dry, wet and very wet; using a rotating disk rainfall simulator. Regression equations indicated that rainfall intensity was the most important factor affecting soil erosion and that erosion could occur at a relatively small intensity on wet soils as a result of subsequent rainfall events. Soil erosion on cultivated land was primarily affected by moisture content, while on uncultivated land, it was mostly affected by slope steepness. Rainfall intensity, slope and antecedent moisture explained 84–89 and 59–66% of the variation in runoff and soil loss, respectively. The results indicated the significant influence of cultivating the land on soil erosion.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1002/ldr.2239,Limited access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/7278,,2013-12-29,Land Degradation and Development,1085-3278,Wiley: 12 months,24,6,582-590,jordan; rainfall simulator; sediment concentration; soil erodibility; surface crust; runoff strips,JO
Genome-wide association mapping of lentil (Lens culinaris Medikus) prebiotic carbohydrates toward improved human health and crop stress tolerance,"Johnson, Nathan; Boatwright, J. Lucas; Bridges, William; Thavarajah, Pushparajah; Agrawal, Shiv Kumar; Shipe, Emerson; Thavarajah, Dil",International Center for Agricultural Research in the Dry Areas - ICARDA; Clemson University,"Lentil, a cool-season food legume, is rich in protein and micronutrients with a range of prebiotic carbohydrates, such as raffinose-family oligosaccharides (RFOs), fructooligosaccharides (FOSs), sugar alcohols (SAs), and resistant starch (RS), which contribute to lentil's health benefits. Beneficial microorganisms ferment prebiotic carbohydrates in the colon, which impart health benefits to the consumer. In addition, these carbohydrates are vital to lentil plant health associated with carbon transport, storage, and abiotic stress tolerance. Thus, lentil prebiotic carbohydrates are a potential nutritional breeding target for increasing crop resilience to climate change with increased global nutritional security. This study phenotyped a total of 143 accessions for prebiotic carbohydrates. A genome-wide association study (GWAS) was then performed to identify associated variants and neighboring candidate genes. All carbohydrates analyzed had broad-sense heritability estimates (H2) ranging from 0.22 to 0.44, comparable to those reported in the literature. Concentration ranges corresponded to percent recommended daily allowances of 2–9% SAs, 7–31% RFOs, 51–111% RS, and 57–116% total prebiotic carbohydrates. Significant SNPs and associated genes were identified for numerous traits, including a galactosyltransferase (Lcu.2RBY.1g019390) known to aid in RFO synthesis. Further studies in multiple field locations are necessary. Yet, these findings suggest the potential for molecular-assisted breeding for prebiotic carbohydrates in lentil to support human health and crop resilience to increase global food security.",,en,https://dx.doi.org/10.1038/s41598-021-93475-3,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/66325,,2021-07-06,Scientific Reports,2045-2322,NATURE RESEARCH,11,,,plant breeding; plant genetics; carbohydrates; lentil; genotype; agricultural genetics,MA
A framework for scaling sustainable land management options,"Thomas, Richard; Reeds, Mark; Clifton, Kathryn; Appadurai, Arivudai Nambi; Mills, Anthony; Zucca, Claudio; Kodsi, Elie; Sircely, Jason; Haddad, Fida; von Hagen, Craig; Mapedza, Everisto; Woldearegay, Kifle; Shalander, Kumar; Bellon, Mauricio; Le, Quang Bao; Mabikke, Samuel; Alexander, Sasha; Leu, Stefan; Schlingloff, Stefan; Lala-Pritchard, Tana; Mares, Victor; Quiroz, Roberto","Bioversity International - Bioversity; International Center for Agricultural Research in the Dry Areas - ICARDA; International Crops Research Institute for the Semi-Arid Tropics - ICRISAT; International Livestock Research Institute - ILRI; International Potato Center - CIP; International Water Management Institute - IWMI; Food and Agriculture Organization of the United Nations - FAO; International Union for Conservation of Nature - IUCN; United Nations Convention to Combat Desertification - UNCCD; iMMAP; C4 EcoSolutions - C4ES; World Resources Institute - WRI; United Nations Development Programme - UNDP; Mekelle University - MU; United Nations Human Settlements Programme  - UN-Habitat; Sustainability Lab; WorldFish - WF; Newcastle University, Faculty of Science, Agriculture and Engineering - NCL - SAGE","Improvements in land use and management are needed at a global scale to tackle interconnected global challenges of population growth, poverty, migration, climate change, biodiversity loss, and degrading land and water resources. There are hundreds of technical options for improving the sustainability of land management and preventing or reversing degradation, but there are many sociocultural, institutional, economic, and policy barriers hindering their adoption at large scale. To tackle this challenge, the Dryland Systems Program of the Consultative Group for International Agricultural Research and the UN Convention to Combat Desertification convened an expert group to consider barriers and incentives to scaling technologies, processes, policies, or institutional arrangements. The group reviewed existing frameworks for scaling sustainable land management (SLM) interventions across a range of contexts and identified eight critical actions for success: (a) plan iteratively; (b) consistently fund; (c) select SLM options for scaling based on best available evidence; (d) identify and engage with stakeholders at all scales; (e) build capacity for scaling; (f) foster institutional leadership and policy change to support scaling; (g) achieve early benefits and incentives for as many stakeholders as possible; and (h) monitor, evaluate, and communicate. Incentives for scaling were identified for the private sector, farmers and their communities, and policy makers. Based on these findings, a new action framework for scaling is presented that analyses the contexts where specific SLM interventions can be scaled, so that SLM options can be screened and adapted to these contexts, piloted and disseminated. The framework can help countries achieve land degradation neutrality.",Deutsche Gesellschaft für Internationale Zusammenarbeit  - GIZ,en,https://dx.doi.org/10.1002/ldr.3080,Timeless limited access,,https://hdl.handle.net/20.500.11766/9871,,2018-10-01,Land Degradation and Development,1085-3278,Wiley (12 months),29,11,3272-3284,land; management; options; sustainable; scaling,
Assessment of soil surface scarification and reseeding with sulla (Hedysarum coronarium L.) of degraded Mediterranean semi-arid rangelands,"Slim, Slim; Louhaichi, Mounir; Gamoun, Mouldi; Ates, Serkan; Hassan, Sawsan; Rhomdhane, Oumeima; Ouled Belgacem, Azaiez",International Center for Agricultural Research in the Dry Areas - ICARDA; Oregon State University - OSU United States; Ecole Supérieure d'Agriculture de Mateur - ESAM,"Climate change and degradation of natural resources pose daunting challenges in arid and semi-arid rangelands of southern Mediterranean region. Overcoming these challenges requires considerable management actions efforts. In this context, the current two-year (2017/2018 and 2018/2019) study investigated the effects of soil surface scarification and reseeding of rangelands with sulla (Hedysarum coronarium L.) on botanical composition, biomass production, water productivity and pastoral value in the Sbaihia community, Tunisia. The experimental design consisted of a randomised complete block design with six replications. The treatments  were: (i) soil surface superficial scarification; (ii) reseeding sulla following soil scarification; and, (iii) control. Despite the relatively important interannual variation, the highest aboveground net primary production (2 307 and 5 330 kg dry matter ha−1), water productivity (9.5 and 11.8 kg DM mm−1), and pastoral value (2 099 and 4 853 forage units ha−1) values were recorded in the rangelands reseeded with sulla in both growing seasons. Sulla contribution in the species composition of reseeded rangelands 
 increased from 1.7% in 2018 to 2% in 2019. Although soil surface scarification increased the vegetation cover, its effect on biomass production was not significant. Therefore, combined soil scarification and reseeding well-adapted native forage species has a great potential to improve productivity of semi-arid rangelands.",International Livestock Research Institute - ILRI,en,https://dx.doi.org/10.2989/10220119.2020.1838608,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/12618,,2021-02-17,African Journal of Range and Forage Science,1022-0119,Taylor and Francis,,,,management; tunisia; soil scarification; pastoral value,TN
Exploring and Mobilizing the Gene Bank Biodiversity for Wheat Improvement,"Sehgal, Deepmala; Vikram, Prashant; Sansaloni, Carolina Paola; Ortiz, Cynthia; Saint Pierre, Carolina; Payne, Thomas; Ellis, Marc; Amri, Ahmed; Petroli, César Daniel; Wenzl, Peter; Singh, Sukhwinder",International Center for Agricultural Research in the Dry Areas - ICARDA; International Maize and Wheat Improvement Center - CIMMYT; Global Crop Diversity Trust - GCDT,"Identifying and mobilizing useful genetic variation from germplasm banks to breeding programs
is an important strategy for sustaining crop genetic improvement. The molecular
diversity of 1,423 spring bread wheat accessions representing major global production environments
was investigated using high quality genotyping-by-sequencing (GBS) loci, and
gene-based markers for various adaptive and quality traits. Mean diversity index (DI) estimates
revealed synthetic hexaploids to be genetically more diverse (DI= 0.284) than elites
(DI = 0.267) and landraces (DI = 0.245). GBS markers discovered thousands of new SNP
variations in the landraces which were well known to be adapted to drought (1273 novel
GBS SNPs) and heat (4473 novel GBS SNPs) stress environments. This may open new
avenues for pre-breeding by enriching the elite germplasm with novel alleles for drought
and heat tolerance. Furthermore, new allelic variation for vernalization and glutenin genes
was also identified from 47 landraces originating from Iraq, Iran, India, Afghanistan, Pakistan,
Uzbekistan and Turkmenistan. The information generated in the study has been utilized
to select 200 diverse gene bank accessions to harness their potential in pre-breeding
and for allele mining of candidate genes for drought and heat stress tolerance, thus
channeling novel variation into breeding pipelines. This research is part of CIMMYT’s ongoing
‘Seeds of Discovery’ project visioning towards the development of high yielding wheat
varieties that address future challenges from climate change.",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1371/journal.pone.0132112,Open access,CC-BY-NC-4.0,https://hdl.handle.net/20.500.11766/7078,,2015-07-13,PLoS ONE,1932-6203,Public Library of Science,10,7,1-18,plant breeding; wheat; phylogeography; hexaploidy; sequence alignment; drought adoptation,
From bits to bites: Advancement of the Germinate platform to support prebreeding informatics for crop wild relatives,"Raubach, Sebastian; Kilian, Benjamin; Dreher, Kate; Amri, Ahmed; Bassi, Filippo; Boukar, Ousmane; Cook, Douglas; Cruickshank, Alan; Fatokun, Christian; El Haddad, Noureddine; Humphries, Alan; Jordan, David; Kehel, Zakaria; Agrawal, Shiv Kumar; Labarosa, Sandy Jan; Nguyen, Loi Huu; Mace, Emma; McCouch, Susan; McNally, Kenneth L.; Marshall, David F.; Mikwa, Erick; Milne, Iain; Odeny, Damaris; Plazas, Mariola; Prohens, Jaime; H. Rieseberg, Loren; Schafleitner, Roland; Sharma, Shivali; Stephen, Gordon; Quang Tin, Huynh; Togola, Abou; Warschefsky, Emily; Werner, Peter; Shaw, Paul","International Center for Agricultural Research in the Dry Areas - ICARDA; International Crops Research Institute for the Semi-Arid Tropics - ICRISAT; International Institute of Tropical Agriculture - IITA; International Maize and Wheat Improvement Center - CIMMYT; The World Vegetable Center - AVRDC; University of California-Davis - UC Davis; Cornell University - CORNELL; University of Bonn - Uni-Bonn; International Rice Research Institute - IRRI; Global Crop Diversity Trust - GCDT; The James Hutton Institute - JHI; The University of British Columbia - UBC; South Australian Research and Development Institute - SARDI; University of Queensland - UQ; Scotland's Rural College - SRUC; Polytechnic University of Valencia - UPVAL; Can Tho University, Mekong Delta Development Research Institute - CTU - MDI","Management and distribution of experimental data from prebreeding projects
is important to ensure uptake of germplasm into breeding and research programs. Being able to access and share this data in standard formats is essential.
The adoption of a common informatics platform for crops that may have limited
resources brings economies of scale, allowing common informatics components
to be used across multiple species. The close integration of such a platform with
commonly used breeding software, visualization, and analysis tools reduces the
barrier for entry to researchers and provides a common framework to facilitate
collaborations and data sharing. This work presents significant updates to the
Germinate platform and highlights its value in distributing prebreeding data for
14 crops as part of the project ‘Adapting Agriculture to Climate Change: Collecting, Protecting and Preparing Crop Wild Relatives’ (hereafter Crop Trust Crop
Wild Relatives project) led by the Crop Trust (https://www.cwrdiversity.org). The
addition of data on these species compliments data already publicly available in
Germinate. We present a suite of updated Germinate features using examples
from these crop species and their wild relatives. The use of Germinate within the
Crop Trust Crop Wild Relatives project demonstrates the usefulness of the system
and the benefits a shared informatics platform provides. These data resources
provide a foundation on which breeding and research communities can develop
additional online resources for their crops, harness new data as it becomes available, and benefit collectively from future developments of the Germinate platform.",Global Crop Diversity Trust - GCDT,en,https://dx.doi.org/10.1002/csc2.20248,Open access,CC-BY-NC-ND-4.0,https://hdl.handle.net/20.500.11766/11982,,2020-06-30,Crop Science,0011-183X,Wiley (12 months),,,1-29,crop wild relatives; prebreeding informatics,
"Genetic variations, heritability, heat tolerance indices and correlations studies for traits of bread wheat genotypes under high temperature","Elbashier, Elfadil Mohamed Eltayeb; Esa Idris, Siddig; Tadesse, Wuletaw; Tahir, Izzat; S. Ibrahim, Abu Elhassan; Elhashimi, Ashraf Mohamed Ahmed Elhashimi; Saad, Abu Sefyan Ibrahim; Idris, Amani A. M.; Mohamed Mustfa, Hala","International Center for Agricultural Research in the Dry Areas - ICARDA; Agricultural Research Corporation - ARC Sudan; University of Gezira, Faculty of Agricultural Sciences","Bread wheat is adapted to many different environments, such as heat-stress conditions. In
such areas, heat stress is one of the most important production challenges for wheat. The
expected rising global temperature of 1-4°C over the next 50 years will have an effect on the
production of wheat in the tropics through heat stress (Hansen, 2006). Heat stress affects
more than 30 million hectares of wheat annually in the world and leading to significant grain
yield reduction (Battisti and Naylor, 2010). High temperature is reported to decrease yields by
3 to 5 per cent per every 1°C increase above 15°C in plants under controlled conditions
(Gibson and Paulsen, 1999). In addition, the effect of climate change is also evident on the
quality of wheat, as increased heat results in shriveled wheat grains (Tadesse et al., 2013). To
adapt new crop varieties to the future climate, we need to understand how crops respond to
elevated temperatures and how tolerance to heat can be improved (Halford, 2009). Success in
crop improvement generally depends on the magnitude of genetic variability and the extent
to which the desirable characters are important. Germplasm evaluation will be of great
significance for selection of heat-tolerant genotypes and for improving grain yield under high
temperature. Thus, the objectives of the research were to study the genetic variability,
heritability, heat tolerance indices and phenotypic and genotypic correlation studies for traits
of 250 elite International Center for Agricultural Research in the Dry Areas (ICARDA) bread
wheat genotypes under high temperature in Wad Medani, Sudan",International Center for Agricultural Research in the Dry Areas - ICARDA,en,https://dx.doi.org/10.1108/IJCCSM-05-2018-0048,Open access,CC-BY-4.0,https://hdl.handle.net/20.500.11766/11872,,2019-11-18,International Journal of Climate Change Strategies and Management,1756-8692,Emerald,11,5,672-686,bread wheat; temperature; stress; genetic; variation,
Potential geographic distribution of Rhipicephalus sanguineus sensu  lato in Tunisia: review and modelling,"Khbou, Mediha Khamassi; Vajana, Elia; Alkishe, Abdelghafar; Hamadi, Emna; Romdhane, Rihab; Sassi, Limam; Rekik, Mourad; Gharbi, Mohamed","International Center for Agricultural Research in the Dry Areas - ICARDA; Swiss Federal Institute of Technology Lausanne - EPFL; Manouba University, National School of Veterinary Medicine of Sidi Thabet - ENMV; The university of Kansas - KU USA","Rhipicephalus sanguineus sensu lato (R. sanguineus s.l.) is an important group of ticks that infest a large panel of animals’ species and are vectors of multiple pathogens of medical and veterinary  importance. As the biology of ticks is driven by abiotic factors, mainly temperature and humidity, climate changes are incriminated in increasing ticks and tick-borne pathogens incidence. The aim of this study was to map the current potential geographic distribution of R. sanguineus s.l. in Tunisia to  help anticipating control measures to prevent tick-borne pathogens transmitted by these ticks.  Extracted R. sanguineus s.l. occurrence records from the literature and a field survey across Tunisia  were combined with environmental predictors using the maximum-entropy (MaxEnt) approach. The higher habitat suitability is expected for R. sanguineus s.l. along the coasts of Tunisia than in the Mapping Rhipicephalus sanguineus s.l. in Tunisia 2 This is a provisional file, not the final typeset article internal regions, in particular in the north-east and the north-west of the country. Nevertheless,  suitability reaches the lowest level in the plateau of Kasserine district, center west. The probability of  R. sanguineus s.l. occurrence is positively correlated to the mean temperature of the coldest quarter  and the mean specific humidity of the least humid quarter. The Mediterranean climate which is  prevalent in north and coastal Tunisian regions is favorable to R. sanguineus s.l. occurrence, while the harsh conditions of the southern and the central-west region is unfavorable for the presence of  this tick. Getting a detailed view of R. sanguineus s.l. potential distribution is of paramount  importance for public health and veterinary decision makers to implement adequate control measures  in the present.",International Livestock Research Institute - ILRI,en,,Limited access,Copyrighted; all rights reserved,https://hdl.handle.net/20.500.11766/66412,,2021-11-02,,,,,,,ecological niche modelling; suitability; tunisa; maxent; rhipicephalus sanguineus s.l.,TN
