dc.title,dc.contributor.author,dc.type,dc.date.issued,dc.identifier.uri,dc.identifier.doi,dc.subject,cg.subject.cifor,cg.contributor.affiliation,cg.contributor.center,cg.contributor.donor,cg.coverage.region,cg.coverage.country,cifor.publication.status,dc.type.refereed,dc.description.abstract,cifor.source.title,dc.identifier.issn,cifor.source.volume,cifor.source.numbers,dc.publisher,dc.type.isi,dc.language,dc.language.iso,cifor.type.oa,dc.rights,dc.format.extent,cifor.source.page
Gender lessons for climate initiatives: A comparative study of REDD+ impacts on subjective wellbeing,"Larson, A.M.; Solis, D.; Duchelle, A.E.; Atmadja, S.; Resosudarmo. I.A.P.; Dokken, T.; Komalasari, M.",Journal Article; ISI,2018-04-26,#/11463/10291,https://doi.org/10.1016/j.worlddev.2018.02.027,gender; climate change; women; mitigation; livelihoods; tropical forests; community forestry,Climate Change; Climate change mitigation and REDD+; Gender Analysis and Research; Accelerating rates of deforestation and forest degradation,Center for International Forestry Research,Center for International Forestry Research (CIFOR),"Norwegian Agency for Development Cooperation (NORAD); Australian Department of Foreign Affairs and Trade (DFAT); European Commission (EC); International Climate Initiative (IKI); Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety (BMUB); Department for International Development (DFID)",,,,Refereed,"Although REDD+ is primarily a mechanism for reducing carbon emissions from forests, concerns regarding social benefits, wellbeing and gender are increasingly part of its mandate. This is consistent with the Paris Declaration as well as SDG 5 on gender equality and women’s empowerment. Critics have argued, however, that REDD+ design, both in policy and projects, does not take gender into account effectively, rather marginalizing women from decision making processes and exacerbating inequalities. Most of that research has been site specific or on single countries. This article uses data from a longitudinal study of subnational REDD+ initiatives in six countries to analyze their gendered impact on perceived wellbeing. Comparative research on subjective wellbeing was conducted at 62 villages participating in 16 REDD+ initiatives and 61 control villages at two periods in time, using a before-after-control-intervention (BACI) design. Focus groups with villagers (68% male) and women (100% female) permit a gendered comparison of definitions of wellbeing and outcomes of initiatives. The results highlight that while definitions of wellbeing overlapped between the two groups, almost half of the women’s focus groups thought that having their own source of income was important. Outcomes regarding wellbeing change suggest that perceived wellbeing decreased in REDD+ villages both for villagers as a whole and for women, relative to control villages, but the decrease was much worse for women – a decrease that is significantly associated with living in a REDD+ village. These declines may be due to unrealized expectations for REDD+, combined with little attention to gender in REDD+ initiatives, in spite of an important portion (46%) of specific interventions that women view positively. These interventions provide insights into potential ways forward. Overall, however, REDD+ initiatives appear to be repeating past mistakes, with insufficient attention to gender equality and safeguarding women’s rights. More effort needs to be paid to ensuring that gender is an integral part of future initiatives to combat climate change in rural communities.",World Development,0305-750X,108,,,ISI Journal,English,en,Gold open access,Attribution 4.0,,86-102
"Unrelenting games: Multiple negotiations and landscape transformations in the tropical peatlands of Central Kalimantan, Indonesia","Sanders, A.J.P.; Ford, R.M.; Mulyani, L.; Prasti H.; R.D.; Larson, A.M.; Jagau, Y.; Keenan, R.J.",Journal Article; ISI,2019-02-02,#/11463/13301,https://doi.org/10.1016/j.worlddev.2019.01.008,peatlands; landscape; land management; land use change; climate change,Climate Change; Climate change mitigation and REDD+; Accelerating rates of deforestation and forest degradation,Center for International Forestry Research,Center for International Forestry Research (CIFOR),Norwegian Agency for Development Cooperation (NORAD); European Commission (EC); Department for International Development (DFID); Australian Agency for International Development (AusAID); Australian Department of Foreign Affairs and Trade (DFAT),Southeast Asia,Indonesia,,Refereed,"Land use change is often a result of negotiation between different interests. Focusing on negotiation practices helps to provide a nuanced understanding of land use change processes over time. We examine negotiations within a concession model for land development in the southern tropical peatlands of Central Kalimantan province in Indonesia. This region can be described as a ‘resource frontier’, where historical landscape transformations from large development projects and oil palm plantations intersect with state models of forest conservation and recent Reducing Emissions from Degradation and Forest Degradation (REDD+) projects. The study drew on actor-network theory (ANT) and combined an ethnographic approach with document analysis for understanding how these landscape transformations and land allocation for large concessions has left a legacy of continuing uncertainty and conflict over land. There is considerable gaming between actors to achieve their desired outcome. Increased competition for land and contested legal arrangements mean that the negotiations are virtually never-ending. ‘Winning’ at one stage of a negotiation may mean that those who feel they have lost will organise and use the system to challenge the outcomes. These findings show that attempts to implement pre-determined plans or apply global environmental goals at resource frontiers will become entangled in fluid and messy negotiations over land, rather than achieving any desired new status quo.",World Development,0305-750X,117,,,ISI Journal,English,en,Gold open access,Attribution 4.0,,196-210
Tropical forest canopies and their relationships with climate and disturbance: results from a global dataset of consistent field-based measurements,"Pfeifer, M.; Gonsamo, A.; Woodgate, W.; Cayuela, L.; Marshall, A.R.; Ledo, A.; Paine, T.C.E.; Marchant, R.; Burt, A.; Calders, K.; Courtney-Mustaphi, C.; Cuni-Sanchez, A.; Deere, N.J.; Denu, D.; de Tanago, J.G.; Hayward, R.; Lau, A.; Macía, M.J.; Olivier, P.I.; Pellikka, P.; Seki, H.; Shirima, D.; Trevithick, R.; Wedeux, B.; Wheeler, C.; Munishi, P.K.T.; Martin, T.; Mustari, A.; Platts, P.J.",Journal Article; ISI,2018-03-06,#/11463/10152,https://doi.org/10.1186/s40663-017-0118-7,canopy; tropical forests; conservation areas; climate change; drought,Climate Change,,,,,,,Refereed,"Canopy structure, defined by leaf area index (LAI), fractional vegetation cover (FCover) and fraction of absorbed photosynthetically active radiation (fAPAR), regulates a wide range of forest functions and ecosystem services. Spatially consistent field-measurements of canopy structure are however lacking, particularly for the tropics. Here, we introduce the Global LAI database: a global dataset of field-based canopy structure measurements spanning tropical forests in four continents (Africa, Asia, Australia and the Americas). We use these measurements to test for climate dependencies within and across continents, and to test for the potential of anthropogenic disturbance and forest protection to modulate those dependences. Using data collected from 887 tropical forest plots, we show that maximum water deficit, defined across the most arid months of the year, is an important predictor of canopy structure, with all three canopy attributes declining significantly with increasing water deficit. Canopy attributes also increase with minimum temperature, and with the protection of forests according to both active (within protected areas) and passive measures (through topography). Once protection and continent effects are accounted for, other anthropogenic measures (e.g. human population) do not improve the model. We conclude that canopy structure in the tropics is primarily a consequence of forest adaptation to the maximum water deficits historically experienced within a given region. Climate change, and in particular changes in drought regimes may thus affect forest structure and function, but forest protection may offer some resilience against this effect.",Forest Ecosystems,2197-5620,5,,,ISI Journal,English,en,Gold open access,Attribution 4.0,,7
Tree biomass equations from terrestrial LiDAR: A case study in Guyana,"Lau, A.; Calders, K.; Bartholomeus, H.; Martius, C.; Raumonen, P.; Herold, M.; Vicari, M.; Sukhdeo, H.; Singh, J.; Goodman, R.C.",Journal Article; ISI,2019-06-25,#/11463/13961,https://doi.org/10.3390/f10060527,biomass; remote sensing; allometry; sampling,Climate Change; Wetlands and Blue Carbon; Smart Forestry; Accelerating rates of deforestation and forest degradation,Center for International Forestry Research,Center for International Forestry Research (CIFOR),,South America,Guyana,,Refereed,"Large uncertainties in tree and forest carbon estimates weaken national efforts to accurately estimate aboveground biomass (AGB) for their national monitoring, measurement, reporting and verification system. Allometric equations to estimate biomass have improved, but remain limited. They rely on destructive sampling; large trees are under-represented in the data used to create them; and they cannot always be applied to different regions. These factors lead to uncertainties and systematic errors in biomass estimations. We developed allometric models to estimate tree AGB in Guyana. These models were based on tree attributes (diameter, height, crown diameter) obtained from terrestrial laser scanning (TLS) point clouds from 72 tropical trees and wood density. We validated our methods and models with data from 26 additional destructively harvested trees. We found that our best TLS-derived allometric models included crown diameter, provided more accurate AGB estimates (R2 = 0.92-0.93) than traditional pantropical models ( R2 = 0.85-0.89), and were especially accurate for large trees (diameter > 70 cm). The assessed pantropical models underestimated AGB by 4 to 13%. Nevertheless, one pantropical model (Chave et al. 2005 without height) consistently performed best among the pantropical models tested (R2 = 0.89) and predicted AGB accurately across all size classes-which but for this could not be known without destructive or TLS-derived validation data. Our methods also demonstrate that tree height is difficult to measure in situ, and the inclusion of height in allometric models consistently worsened AGB estimates. We determined that TLS-derived AGB estimates were unbiased. Our approach advances methods to be able to develop, test, and choose allometric models without the need to harvest trees.",Forests,1999-4907,10,6,,ISI Journal,English,en,Gold open access,Attribution 4.0,,527
Quantifying branch architecture of tropical trees using terrestrial LiDAR and 3D modelling,"Lau, A.; Bentley, L.P.; Martius, C.; Shenkin, A.; Bartholomeus, H.; Raumonen, P.; Malhi, Y.; Jackson, T.; Herold, M.",Journal Article; ISI,2018-05-25,#/11463/12006,https://doi.org/10.1007/s00468-018-1704-1,tropical forests; trees; rain forests; models,Climate Change; Wetlands and Blue Carbon; Smart Forestry; Accelerating rates of deforestation and forest degradation,Center for International Forestry Research,Center for International Forestry Research (CIFOR),"Norwegian Agency for Development Cooperation (NORAD); Australian Department of Foreign Affairs and Trade (DFAT); European Commission (EC); International Climate Initiative (IKI); Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety (BMUB)",,,,Refereed,"Tree architecture is the three-dimensional arrangement of above ground parts of a tree. Ecologists hypothesize that the topology of tree branches represents optimized adaptations to tree’s environment. Thus, an accurate description of tree architecture leads to a better understanding of how form is driven by function. Terrestrial laser scanning (TLS) has demonstrated its potential to characterize woody tree structure. However, most current TLS methods do not describe tree architecture. Here, we examined nine trees from a Guyanese tropical rainforest to evaluate the utility of TLS for measuring tree architecture. First, we scanned the trees and extracted individual tree point clouds. TreeQSM was used to reconstruct woody structure through 3D quantitative structure models (QSMs). From these QSMs, we calculated: (1) length and diameter of branches > 10 cm diameter, (2) branching order and (3) tree volume. To validate our method, we destructively harvested the trees and manually measured all branches over 10 cm (279). TreeQSM found and reconstructed 95% of the branches thicker than 30 cm. Comparing field and QSM data, QSM overestimated branch lengths thicker than 50 cm by 1% and underestimated diameter of branches between 20 and 60 cm by 8%. TreeQSM assigned the correct branching order in 99% of all cases and reconstructed 87% of branch lengths and 97% of tree volume. Although these results are based on nine trees, they validate a method that is an important step forward towards using tree architectural traits based on TLS and open up new possibilities to use QSMs for tree architecture.",Trees - Structure and Function,0931-1890,,,,ISI Journal,English,en,Gold open access,Attribution 4.0,,
Ecosystem Services and Biodiversity in a Rapidly Transforming Landscape in Northern Borneo,"Labrière, N.; Laumonier, Y.; Locatelli, B.; Vieilledent, G.; Comptour, M.",Journal Article; ISI,2015-07-07,#/11463/6401,https://doi.org/10.1371/journal.pone.0140423,ecosystem services; biodiversity; landscape ecology,Climate Change; Climate change mitigation and REDD+; Ecosystem Services,Center for International Forestry Research,Center for International Forestry Research (CIFOR),European Commission (EC),Southeast Asia,Indonesia,,Refereed,"Because industrial agriculture keeps expanding in Southeast Asia at the expense of natural forests and traditional swidden systems, comparing biodiversity and ecosystem services in the traditional forest-swidden agriculture system vs. monocultures is needed to guide decision making on land-use planning. Focusing on tree diversity, soil erosion control, and climate change mitigation through carbon storage, we surveyed vegetation and monitored soil loss in various land-use areas in a northern Bornean agricultural landscape shaped by swidden agriculture, rubber tapping, and logging, where various levels and types of disturbance have created a fine mosaic of vegetation from food crop fields to natural forest. Tree species diversity and ecosystem service production were highest in natural forests. Logged-over forests produced services similar to those of natural forests. Land uses related to the swidden agriculture system largely outperformed oil palm or rubber monocultures in terms of tree species diversity and service production. Natural and logged-over forests should be maintained or managed as integral parts of the swidden system, and landscape multifunctionality should be sustained. Because natural forests host a unique diversity of trees and produce high levels of ecosystem services, targeting carbon stock protection, e.g. through financial mechanisms such as Reducing Emissions from Deforestation and Forest Degradation (REDD+), will synergistically provide benefits for biodiversity and a wide range of other services. However, the way such mechanisms could benefit communities must be carefully evaluated to counter the high opportunity cost of conversion to monocultures that might generate greater income, but would be detrimental to the production of multiple ecosystem services.",PLoS ONE,1932-6203,10,10,,ISI Journal,English,en,Gold open access,Attribution 4.0,,e0140423
Learning from social–ecological crisis for legal resilience building: multi-scale dynamics in the coffee rust epidemic,"Libert Amico, A.; Ituarte-Lima, C.; Elmqvist, T.",Journal Article; ISI,2019-05-17,#/11463/13872,https://doi.org/10.1007/s11625-019-00703-x,coffee; small scale farming; climate change; adaptation; landscape; agroforestry systems; biodiversity,Climate Change; Climate change mitigation and REDD+; Accelerating rates of deforestation and forest degradation,Center for International Forestry Research,Center for International Forestry Research (CIFOR),,Central America,Mexico,,Refereed,"A recent coffee leaf rust epidemic has generated a severe fall in Coffea arabica production throughout Mexico and Central America. This paper analyzes the social–ecological crisis presented by the Hemileia vastatrix outbreak, with a focus on how global, regional and national dynamics interact with local processes in the Chiapas Sierra Madre of south-eastern Mexico, a biodiversity hotspot with a tradition of smallholder, shade-grown coffee production. We explore the hypothesis that the current coffee rust epidemic is an expression of global environmental change, with implications for legal frameworks and international efforts towards risk management and climate change adaptation. Addressing debates on legal resilience building, we illustrate how mismatches of scale between social–ecological phenomena and legal and institutional arrangements may generate pathological solutions for small-scale coffee producers and shade-grown coffee ecosystems. Thereafter, using the analytical lens of modularity, the paper sheds light on landscape stewardship to reduce the risks of non-resilient characteristics such as isolation, on the one hand, and on the other, over-connectedness of habitat patches in the landscape of importance for ecosystem functions at larger scales. The interdisciplinary framework leads to recognizing the role of institutions and legal arrangements which are not limited to national boundaries in proposing solutions to this social–ecological crisis. We find that matching scales of law with agroforestry systems can be done through a variety of legal and policy instruments to contribute to resilience building. This matching of scales is vital to safeguarding biodiversity’s global benefits and the right of small-scale coffee farmers to a healthy and sustainable environment.",Sustainability Science,1862-4065,,,,ISI Journal,English,en,Gold open access,Attribution 4.0,,1-17
Climate change and plant dispersal along corridors in fragmented landscapes of Mesoamerica,"Imbach, P. A.; Locatelli, B.; Molina, L.G.; Ciais, P.; Leadley, P.W.",Journal Article; ISI,2013-07-05,#/11463/5158,https://doi.org/10.1002/ece3.672,climate change; adaptation; biodiversity; migration; species diversity; conservation,Climate Change; Climate change mitigation and REDD+; Accelerating rates of deforestation and forest degradation,Center for International Forestry Research,Center for International Forestry Research (CIFOR),,,,,Refereed,"Climate change is a threat to biodiversity, and adaptation measures should be considered in biodiversity conservation planning. Protected areas (PA) are expected to be impacted by climate change and improving their connectivity with biological corridors (BC) has been proposed as a potential adaptation measure, although assessing its effectiveness remains a challenge. In Mesoamerica, efforts to preserve the biodiversity have led to the creation of a regional network of PA and, more recently, BC. This study evaluates the role of BC for facilitating plant dispersal between PA under climate change in Mesoamerica. A spatially explicit dynamic model (cellular automaton) was developed to simulate species dispersal under different climate and conservation policy scenarios. Plant functional types (PFT) were defined based on a range of dispersal rates and vegetation types to represent the diversity of species in the region. The impacts of climate change on PA and the role of BC for dispersal were assessed spatially. Results show that most impacted PA are those with low altitudinal range in hot, dry, or high latitude areas. PA with low altitudinal range in high cool areas benefit the most from corridors. The most important corridors cover larger areas and have high altitude gradients. Only the fastest PFT can keep up with the expected change in climate and benefit from corridors for dispersal. We conclude that the spatial assessment of the vulnerability of PA and the role of corridors in facilitating dispersal can help conservation planning under a changing climate.",Ecology and Evolution,2045-7758,3,9,,ISI Journal,English,en,Gold open access,Attribution 4.0,,2917-2932
Synergies and trade-offs between ecosystem services in Costa Rica,"Locatelli, B.; Imbach, P. A.; Wunder, S.",Journal Article; ISI,2014-07-06,#/11463/5245,https://doi.org/10.1017/S0376892913000234,adaptation; biodiversity; carbon; climate change; environmental services; mitigation; analysis; water,Climate Change; Climate change mitigation and REDD+; Ecosystem Services; Accelerating rates of deforestation and forest degradation; High prevalence of degraded land and ecosystem services,Center for International Forestry Research,Center for International Forestry Research (CIFOR),Norwegian Agency for Development Cooperation (NORAD); Australian Agency for International Development (AusAID),,,,Refereed,"Ecosystems services have become a key concept in understanding the way humans benefit from ecosystems. In Costa Rica, a pioneer national scheme of payment provides compensation for forest conservation that is assumed to jointly produce services related to biodiversity conservation, carbon storage, water and scenic beauty, but little is known about the spatial correlations among these services. A spatial assessment, at national scale and with fine resolution, identified the spatial congruence between these services, by considering the biophysical potential of service provision and socioeconomic demand. Services have different spatial distributions but are positively correlated. Spatial synergies exist between current policies (national parks and the payment scheme) and the conservation of ecosystem services: national parks and areas receiving payments provide more services than other areas. Biodiversity hotspots have the highest co-benefits for other services, while carbon hotspots have the lowest. This finding calls for cautiousness in relation to expectations that forest-based mitigation initiatives such as REDD (reducing emissions from deforestation and forest degradation) can automatically maximize bundled co-benefits for biodiversity and local ecosystem services.",Environmental Conservation,1469-4387,41,1,,ISI Journal,English,en,Gold open access,Attribution 4.0,,27-36
Tropical reforestation and climate change: beyond carbon,"Locatelli, B.; Catterall, C.P.; Imbach, P.; Kumar, C.; Lasco, R.; Marín-Spiotta, E.; Mercer, B.; Powers, J.S.; Schwartz, N.; Uriarte, M.",Journal Article; ISI,2015-07-07,#/11463/6186,https://doi.org/10.1111/rec.12209,climate change; adaptation; mitigation; ecosystem services; reforestation; resilience; vulnerability; water; livelihoods,Climate Change; Climate change mitigation and REDD+; Accelerating rates of deforestation and forest degradation,World Agroforestry Centre; Centre de Coopération Internationale en Recherche Agronomique pour le Développement,World Agroforestry Centre (ICRAF); Centre de Coopération Internationale en Recherche Agronomique pour le Développement (CIRAD),,,,,Refereed,"Tropical reforestation (TR) has been highlighted as an important intervention for climate change mitigation because of its carbon storage potential. TR can also play other frequently overlooked, but significant, roles in helping society and ecosystems adapt to climate variability and change. For example, reforestation can ameliorate climate-associated impacts of altered hydrological cycles in watersheds, protect coastal areas from increased storms, and provide habitat to reduce the probability of species' extinctions under a changing climate. Consequently, reforestation should be managed with both adaptation and mitigation objectives in mind, so as to maximize synergies among these diverse roles, and to avoid trade-offs in which the achievement of one goal is detrimental to another. Management of increased forest cover must also incorporate measures for reducing the direct and indirect impacts of changing climate on reforestation itself. Here we advocate a focus on ""climate-smart reforestation,"" defined as reforesting for climate change mitigation and adaptation, while ensuring that the direct and indirect impacts of climate change on reforestation are anticipated and minimized.",Restoration Ecology,1526-100X,23,4,,ISI Journal,English,en,Gold Open Access,Attribution 4.0,,337-343
Integrating climate change mitigation and adaptation in agriculture and forestry: opportunities and trade-offs,"Locatelli, B.; Pavageau, C.; Pramova, E.; Di Gregorio, M.",Journal Article; ISI,2015-07-07,#/11463/6361,https://doi.org/10.1002/wcc.357,climate change; adaptation; mitigation; agriculture; forestry,Climate Change; Climate change mitigation and REDD+; Accelerating rates of deforestation and forest degradation,Center for International Forestry Research; Centre de Coopération Internationale en Recherche Agronomique pour le Développement,Center for International Forestry Research (CIFOR); Centre de Coopération Internationale en Recherche Agronomique pour le Développement (CIRAD),"Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety (BMUB); Australian Department of Foreign Affairs and Trade (DFAT)",,,,Refereed,"Although many activities can jointly contribute to the climate change strategies of adaptation and mitigation, climate policies have generally treated these strategies separately. In recent years, there has been a growing interest shown by practitioners in agriculture, forestry, and landscape management in the links between the two strategies. This review explores the opportunities and trade-offs when managing landscapes for both climate change mitigation and adaptation; different conceptualizations of the links between adaptation and mitigation are highlighted. Under a first conceptualization of ‘joint outcomes,' several reviewed studies analyze how activities without climatic objectives deliver joint adaptation and mitigation outcomes. In a second conceptualization of ‘unintended side effects,' the focus is on how activities aimed at only one climate objective -either adaptation or mitigation- can deliver outcomes for the other objective. A third conceptualization of ‘joint objectives' highlights that associating both adaptation and mitigation objectives in a climate-related activity can influence its outcomes because of multiple possible interactions. The review reveals a diversity of reasons for mainstreaming adaptation and mitigation separately or jointly in landscape management. The three broad conceptualizations of the links between adaptation and mitigation suggest different implications for climate policy mainstreaming and integration.",Wiley Interdisciplinary Reviews: Climate Change,1757-7799,6,6,,ISI Journal,English,en,Gold open access,Attribution 4.0,,585-598
Soil erosion in the humid tropics: A systematic quantitative review,"Labrière, N.; Locatelli, B.; Laumonier, Y.; Freycon, V.; Bernoux, M.",Journal Article; ISI,2015-07-07,#/11463/6145,https://doi.org/10.1016/j.agee.2015.01.027,ecosystem services; systematic reviews; quantitative analysis; landscape; land use; land use planning; management,Climate Change; Climate change mitigation and REDD+; Forest and Landscape Restoration,Center for International Forestry Research,Center for International Forestry Research (CIFOR),Australian Agency for International Development (AusAID),,,,Refereed,"Healthy soils provide a wide range of ecosystem services. But soil erosion (one component of land degradation) jeopardizes the sustainable delivery of these services worldwide, and particularly in the humid tropics where erosion potential is high due to heavy rainfall. The Millennium Ecosystem Assessment pointed out the role of poor land-use and management choices in increasing land degradation. We hypothesized that land use has a limited influence on soil erosion provided vegetation cover is developed enough or good management practices are implemented. We systematically reviewed the literature to study how soil and vegetation management influence soil erosion control in the humid tropics. More than 3600 measurements of soil loss from 55 references covering 21 countries were compiled. Quantitative analysis of the collected data revealed that soil erosion in the humid tropics is dramatically concentrated in space (over landscape elements of bare soil) and time (e.g. during crop rotation). No land use is erosion-prone per se, but creation of bare soil elements in the landscape through particular land uses and other human activities (e.g. skid trails and logging roads) should be avoided as much as possible. Implementation of sound practices of soil and vegetation management (e.g. contour planting, no-till farming and use of vegetative buffer strips) can reduce erosion by up to 99%. With limited financial and technical means, natural resource managers and policy makers can therefore help decrease soil loss at a large scale by promoting wise management of highly erosion-prone landscape elements and enhancing the use of low-erosion-inducing practices.","Agriculture, Ecosystems and Environment",0167-8809,203,,,ISI Journal,English,en,Gold open access,Attribution 4.0,,127-139
Synergies between adaptation and mitigation in climate change finance,"Locatelli, B.; Fedele, G.; Fayolle, A.; Baglee, A.",Journal Article; ISI,2016-07-08,#/11463/6436,https://doi.org/10.1108/IJCCSM-07-2014-0088,adaptation; mitigation; climate change,Climate Change; Climate change mitigation and REDD+; Accelerating rates of deforestation and forest degradation,Center for International Forestry Research,Center for International Forestry Research (CIFOR),"Federal Ministry for the Environment, Nature Conservation, Building and Nuclear Safety (BMUB); Australian Agency for International Development (AusAID); International Climate Initiative (IKI); European Commission (EC)",,,,Refereed,"As adaptation and mitigation are separated in international and national policies, there is also a division in the financial resources mobilized by the international community to help developing countries deal with climate change. Given that mitigation activities can benefit or hinder adaptation, and vice versa, promoting activities that contribute to both objectives can increase the efficiency of fund allocation and minimize trade-offs, particularly in land-related activities such as agriculture and forestry. Information is missing, however, on how climate funding organizations consider the integration of adaptation and mitigation. We interviewed representatives of climate funds directed toward forestry and agriculture to gain a better understanding of how they perceive the benefits, risks and barriers of an integrated approach, whether they have concrete activities for promoting this approach, and how they foresee the future of adaptation-mitigation integration. Interviews revealed a diverse range of perceived benefits, risks and barriers at local, national and global scales. Most interviewees focused on the local benefits of this integration (for example increasing the resilience of forest carbon projects), whereas others emphasized global risks (for example decreasing global funding efficiency because of project complexity). Despite the general interest in projects and policies integrating adaptation and mitigation, few relevant actions have been implemented by organizations engaged in climate change finance. This paper provides new insight into how the representatives of climate funds perceive and act on the integration of adaptation and mitigation in forestry and agriculture. Our findings can inform the development of procedures for climate change finance, such as the Green Climate Fund. While managers of climate funds face barriers in promoting an integrated approach to adaptation and mitigation, they also have the capacity and the ambition to overcome them.",International Journal of Climate Change Strategies and Management,1756-8692,8,1,,ISI Journal,English,en,Gold open access,Attribution 4.0,,112-128
Spatial congruence between carbon and biodiversity across forest landscapes of northern Borneo,"Labrière, N.; Locatelli, B.; Vieilledent, G.; Kharisma, S.; Basuki, I.; Gond, V.; Laumonier, Y.",Journal Article; ISI,2016-07-08,#/11463/6614,https://doi.org/10.1016/j.gecco.2016.01.005,ecosystem services; spatial analysis; protected areas; land use planning,Climate Change; Climate change mitigation and REDD+; Accelerating rates of deforestation and forest degradation,Centre de Coopération Internationale en Recherche Agronomique pour le Développement; Center for International Forestry Research,Centre de Coopération Internationale en Recherche Agronomique pour le Développement (CIRAD); Center for International Forestry Research (CIFOR),European Commission (EC); Australian Agency for International Development (AusAID),Southeast Asia,Indonesia,,Refereed,"Understanding how carbon and biodiversity vary across tropical forest landscapes is essential to achieving effective conservation of their respective hotspots in a global context of high deforestation. Whether conservation strategies aimed at protecting carbon hotspots can provide co-benefits for biodiversity protection, and vice versa, highly depends on the extent to which carbon and biodiversity co-occur at the landscape level. We used field measurements and easily accessible explanatory variables to model aboveground carbon density, soil carbon density and tree alpha diversity (response variables) over a mostly forested area of northern Borneo. We assessed the spatial relationships between response variables and the spatial congruence of their hotspots. We found a significant positive relationship between aboveground carbon density and tree alpha diversity, and an above-than-expected-by-chance spatial congruence of their hotspots. Consequently, the protection of areas of high aboveground carbon density through financial mechanisms such as REDD+ is expected to benefit tree diversity conservation in the study area. On the other hand, relationships between soil carbon density and both aboveground carbon density and tree alpha diversity were negative and spatial congruences null. Hotspots of soil carbon density, mostly located in peatlands, therefore need specific conservation regulations, which the current moratorium on peat conversion in Indonesia is a first step toward.",Global Ecology and Conservation,2351-9894,6,,,ISI Journal,English,en,Gold open access,Attribution 4.0,,105-120
An integrative research framework for enabling transformative adaptation,"Colloff, M.J.; Martín-López, B.; Lavorel, S.; Locatelli, B.; Gorddard, R.; Longaretti, P-Y.; Walters, G.; van Kerkhoff, L.; Wyborn, C.; Coreau, A.; Wise, R.M.; Dunlop, M.; Degeorges, P.; Grantham, H.; Overton, I.C.; Williams, R.D.; Doherty, M.D.; Capon, T.; Sanderson, T.; Murphy, H.T.",Journal Article; ISI,2017-07-09,#/11463/9298,https://doi.org/10.1016/j.envsci.2016.11.007,climate change; adaptation; decision making; transformation; learning; ecosystem services,Climate Change,Center for International Forestry Research; Centre de Coopération Internationale en Recherche Agronomique pour le Développement,Center for International Forestry Research (CIFOR); Centre de Coopération Internationale en Recherche Agronomique pour le Développement (CIRAD),,,,,Refereed,"Transformative adaptation will be increasingly important to effectively address the impacts of climate change and other global drivers on social-ecological systems. Enabling transformative adaptation requires new ways to evaluate and adaptively manage trade-offs between maintaining desirable aspects of current social-ecological systems and adapting to major biophysical changes to those systems. We outline such an approach, based on three elements developed by the Transformative Adaptation Research Alliance (TARA): (1) the benefits of adaptation services; that sub-set of ecosystem services that help people adapt to environmental change; (2) The values-rules-knowledge perspective (vrk) for identifying those aspects of societal decision-making contexts that enable or constrain adaptation and (3) the adaptation pathways approach for implementing adaptation, that builds on and integrates adaptation services and the vrk perspective. Together, these elements provide a future-oriented approach to evaluation and use of ecosystem services, a dynamic, grounded understanding of governance and decision-making and a logical, sequential approach that connects decisions over time. The TARA approach represents a means for achieving changes in institutions and governance needed to support transformative adaptation.",Environmental Science and Policy,1462-9011,68,,,ISI Journal,English,en,Gold open access,Attribution 4.0,,87-96
