title,isbn,issn,first author,other authors,publisher,journal,date issued,extent,abstract,language,subjects,subject source,doi,fulltext link,Column18
Securing a sustainable future: A path towards gender equality in the Indian agricultural sector,,2071-1050,"Dharamshi, Khyati","Moskovitz, Liora; Munshi, Sugandha",MDPI AG,Sustainability,2023,Volume 15 no. 16 p. 12447,"Open access;The Indian agricultural sector is the world’s largest producer of pulses, milk, and jute, and the second-largest producer of rice, wheat, vegetables, fruit, and cotton. Climate change threatens food security worldwide and has severely impacted the Indian agricultural sector. As a result of the unpredictable climate and low profits, economic uncertainty has forced men to seek employment in non-farming sectors. Under the deepening crisis, the farming landscape has transformed into a female-majority workforce. To identify pragmatic solutions to the deepening agrarian crisis, we employed a qualitative triangulation approach to our investigation of the feminisation of the farming sector, which was conducted in 2020. Our analyses of Indian media narratives, archive stories, responses to an online story completion task, and in-depth expert interviews show that, despite their developing role and increasing contribution, women remain marginalised and discriminated against in a culturally male-dominant sector. Supported by a long-term field ethnographic experience, we used Installation Theory to identify three domains in which policymakers can intervene to promote the interconnected issues of social sustainability, gender equality, and sustainable economic development in this sector.",English, employment; food security; gender equality; men;pulses; milk; jute; rice; wheat; vegetables; fruit; cotton; Climate change,Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc,https://doi.org/10.3390/su151612447,https://drive.google.com/file/d/1htXq09hAkp0n6PQXpPgwYu1FUHuvgPoX/view,JA
Greenhouse gas emissions and mitigation in rice agriculture,,2662-138X,"Qian, Haoyu"," Ding, Yanfeng; Li, Ganghua; Liu, Zhenhui; Sander, Bjoern Ole; Shang, Ziyin; van Groenigen, Kees Jan; Wang, Songhan; Zhang, Weijian; Zheng, Xunhua; Zou, Jianwen;Zhu, Xiangchen; Huang, Shan; Jiang, Yu; Linquist, Bruce; Kuzyakov, Yakov; Wassmann, Reiner; Minamikawa, Kazunori; Martinez-Eixarch, Maite; Yan, Xiaoyuan; Zhou, Feng",Springer Science and Business Media LLC,Nature Reviews Earth & Environment,2023,,"Rice paddies supply half the global population with staple food, but also account for ~48% of greenhouse gas (GHG) emissions from croplands. In this Review, we outline the characteristics of GHG emissions (CH4 and N2O) from paddy soils, focusing on climate change effects and mitigation strategies. Global mean annual area-scaled and yield-scaled GHG emissions are ~7,870 kg CO2e ha−1 and 0.9 kg CO2e kg−1, respectively, with 94% from CH4. However, emissions vary markedly, primarily reflecting the impact of management practices. In particular, organic matter additions and continuous flooding of paddies both stimulate CH4 emissions, whereas fertilizer N application rate is the most important driver of N2O emissions. Although contemporary changes in emissions are uncertain, future elevated [CO2] and warming are projected to increase CH4 emissions by 4–40% and 15–23%, respectively. Yet, integrated agronomic management strategies — including cultivar, organic matter, water, tillage and nitrogen management — offer GHG mitigation potential. In particular, new rice variety selection, non-continuous flooding and straw removal strategies reduce GHG emissions by 24%, 44% and 46% on average, respectively. However, approaches need to be optimized on the basis of seasonal CH4 emission patterns, necessitating improved quantification and reduced uncertainty in regional and global GHG estimates, especially in low latitudes.",English,Staple food; Paddy soils; Cultivar selection; Water management,Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc,https://doi.org/10.1038/s43017-023-00482-1,,JA
Assessment of socioeconomic and climate change-related factors to meeting recommended energy intake (REI) of Filipino households,,,"Duante, Charmaine A.","Austria, Rovea Ernazelle G.;Borigas, John Michael E.;Acuin, Cecilia S.",,Philippine Journal of Science,2021,"Volume 150, no. 3; pages 575-605.",,English,Drought;Floods;Philippines;Recommended energy intake;Thypoons,Crossref;Crossref;Crossref;Crossref;Crossref,https://doi.org/10.56899/150.03.01,https://drive.google.com/file/d/1-JffLV_JyRo2wx1-TBVvnDh1s3JdIpW7/view,JA
"A comparative analysis of gender and youth issues in rice production in North, Central, and South Vietnam",,,"Duyen, Tran Nhat Lam ","Rañola, Roberto F.;Sander, Bjoern Ole;Wassmann, Reiner;Tien, Nguyen Dinh;Ngoc, Nong Nguyen Khanh",,Climate and Development,2020,p. 1-14.,,English,"Geography, Planning and Development;Development;Global and Planetary Change",Crossref;Crossref;Crossref,https://doi.org/10.1080/17565529.2020.1734771,https://drive.google.com/file/d/1XxFbLL-Tx2ob_XBda9BOGfRA0naGl7kB/view,JA
Context-specific assessments of carbon footprints of the rice value chain: from product labeling to potential mitigation impacts,,,,"Nelson, Katherine M. ;Bui, Yen Tan ;Nguyen-Van-Hung;Gummert, Martin;Asch, Folkard;Thi Bach Thuong Vo,;Butterbach-Bahl, Klaus ;Kiese, Ralf;Janz, Baldur ;Van Trinh Mai;Sander, Bjoern Ole ",,International Journal of Life Cycle Assessment ,2023,,"Purpose This study presents three contrasting applications using calculation tools for greenhouse gas (GHG) emissions and carbon footprints (C-footprint) that were specifically developed for rice production. This includes a new digital information system for labeling, tracking, and optional auditing of product-specific C-footprints that complements calculation tools developed to quantify GHG emissions and C-footprints. Collectively, these tools are used in different contexts to show their versatility for a variation of purposes.  Methods The digital system requires product-specific information on the rice value chain encompassing cultivation, harvest, and post-harvest processes. The tool provides comprehensive GHG data for tracking C-footprints along the value chain and generates a QR code that can be printed as a product label for marketing purposes. The 2nd and 3rd applications are based on calculation tools with coherent equations as the digital system but with different output formats and scopes. While this C-footprint data in the 2nd application encompasses the entire rice value chain, our 3rd application illustrates the intricacies of quantifying the climate change impacts of technological mitigation options in rice cultivation depending on different GHG metrics and time horizons.  Results and discussion The digital information system comprises a two-pronged approach for private sector applications: (i) GHG tracking along the rice value chain and (ii) product labeling for communicating information on product-specific C-footprints to end users. The principal distinction of GHG emission versus C-footprints was elucidated through (i) a sequential assessment of both parameters along the individual stages of the value chain and (ii) a comparative assessment of different yield levels showing that the reduction in C-footprints does not necessarily equal overall mitigation of GHG emissions in case of higher resource inputs. The juxtaposition of global warming potential (GWP), global temperature potential (GTP), and GWP* highlighted the pivotal role of the short-lived GHG CH4 in assessing potential mitigation impacts.  Conclusions The digital system opens up a pathway to marketing low-carbon rice products that could incentivize investments in improved technologies. The impact assessment underlines the significance of selecting the most appropriate GHG metrics for mitigation planning–especially for GHG sources like rice that are dominated by CH4 emissions.",English,Greenhouse gas;Carbon;Methane;Mitigation;Variety;Oryza sativa L.,Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc;Agrovoc,https://doi.org/10.1007/s11367-023-02176-8,,JA
Evaluating the performance of rice genotypes for improving yield and adaptability under direct seeded aerobic cultivation conditions,,,"Sandhu, N.","Yadaw, R. B.;Chaudhary, B.;Prasai, H. K.;Iftekharuddaula, K. M.;Venkateshwarlu, C.;Annamalai, A.;Xangsayasane, P.;Battan, K. R.;Ram, M.;Sta. Cruz, M. T. ;Pablico, P.;Maturan, P. C.;Raman, A. K.;Catolos, M.;Kumar, A.",,Frontiers in Plant Science ,2019,,"With the changing climatic conditions and reducing labor-water availability, the potential contribution of aerobic rice varieties and cultivation system to develop a sustainable rice based agri-food system has never been more important than today. Keeping in mind the goal of identifying high-yielding aerobic rice varieties for wider adaptation, a set of aerobic rice breeding lines were developed and evaluated for grain yield, plant height and days to 50% flowering in 23 experiments conducted across different location in Philippines, India, Bangladesh, Nepal and Lao-PDR between 2014-2017 in both wet and dry seasons. The heritability for grain yield ranged from 0.52 to 0.90. The season-wise two-stage analysis indicated significant genotype x location interaction for yield under aerobic conditions in both wet and dry seasons. The genotype x season x location interaction for yield was non-significant in both seasons indicating that across seasons the genotypes at each location did not show variability in the grain yield performance. Mean grain yield of the studied genotypes across different locations/seasons ranged from 2085 to 6433 Kg ha-1. The best-fit model for yield stability with low AIC value (542.6) was AMMI(1) model. The identified stable genotypes; IR 92521-143-2-2-1, IR 97048-10-1-1-3, IR 91326-7-13-1-1, IR 91326-20-2-1-4 and IR 91328-43-6-2-1 may serve as novel breeding material for varietal development under aerobic system of rice cultivation. High yield and stable performance of promising breeding lines may be due to presence of the earlier identified QTLs including grain yield under drought, grain yield under aerobic conditions, nutrient uptake, anaerobic germination, adaptability under direct seeded conditions and tolerance to biotic stress resistance such as qDTY2.1, qDTY3.1, qDTY12.1, qNR5.1, AG9.1, qEVV9.1, qRHD1.1, qRHD5.1, qRHD8.1 qEMM1.1, qGY6.1, BPH3, BPH17, GM4, xa4, Xa21, Pita and Pita2. The frequency of xa4 gene was highest followed by qAG9.1, GM4, qDTY3.1, qDTY2.1, qGY6.1 and qDTY12.1.",English,,Rice thesaurus,https://doi.org/10.3389/fpls.2019.00159,https://drive.google.com/file/d/1RjPpLg3DaILXYjB3yL1Voj49Cvmcf2yh/view,JA
Reviewing Vietnam’s nationally determined contribution: a new perspective using the marginal cost of abatement,,,"Carbonari, D. E.","Grosjean, G.;Läderach, P.;Nghia, T. D. ;Sander, B. O.;McKinley, J.;Sebastian, L.;Tapasco, J.",,Frontiers in Sustainable Food Systems,2019,"volume 3, no. 14; pages 1-12.","The processes countries use to revise their Nationally Determined Commitments (NDCs) under the UNFCCC’s Paris Agreement will be key to ensure that their pledges give effective climate change policy. In many developing countries, the agriculture, forestry and other land use (AFOLU) sector is central to their NDCs. We generated a marginal abatement cost (MAC) curve for Vietnam’s AFOLU sector and used it to review the country’s mitigation pledges for this sector. We conclude that Vietnam could increase the emission pledges in its NDC, especially in future land use. Other options for mitigation at negative cost include water techniques in rice, agroforestry and management of livestock diets and manure. The MAC curve alone is insufficient to prioritize policy options for climate change policy, however, because it underestimates adaptation co-benefits, for example, in protected mangrove systems",English,,Rice thesaurus,https://doi.org/10.3389/fsufs.2019.00014,https://drive.google.com/file/d/1-hhB8HUNOkuaas1TKVV21bJd36_8xR-D/view,JA
Climate-smart agriculture and non-agricultural livelihood transformation,,,"Hellin, J.","Fisher, E.",,Climate ,2019,"volume 7, no. 48; 8 pages","Abstract Agricultural researchers have developed a number of agricultural technologies and practices, known collectively as climate-smart agriculture (CSA), as part of climate change adaptation and mitigation efforts. Development practitioners invest in scaling these to have a wider impact. We use the example of the Western Highlands in Guatemala to illustrate how a focus on the number of farmers adopting CSA can foster a tendency to homogenize farmers, instead of recognizing differentiation within farming populations. Poverty is endemic in the Western Highlands, and inequitable land distribution means that farmers have, on average, access to 0.06 ha per person. For many farmers, agriculture per se does not represent a pathway out of poverty, and they are increasingly reliant on non-agricultural income sources. Ineffective targeting of CSA, hence, ignores small-scale farming households’ different capacities for livelihood transformation, which are linked to the opportunities and constraints afforded by different livelihood pathways, agricultural and non-agricultural. Climate-smart interventions will often require a broader and more radical agenda that includes supporting farm households’ ability to build non-agricultural-based livelihoods. Climate risk management options that include livelihood transformation of both agricultural and non-agricultural livelihoods will require concerted cross-disciplinary research and development that encompasses a broader set of disciplines than has tended to be the case to date within the context of CSA.",English,,Rice thesaurus,https://doi.org/10.3390/cli7040048,https://drive.google.com/file/d/11qS2EryxbDpZ1QAtT3ox1Ghc_WCOzeUg/view,JA
"Adaptation, mitigation and food security: Multi-criteria ranking system for climate-smart agriculture technologies illustrated for rainfed rice in Laos",,,"Wassmann, R.","Villanueva, J.;Khounthavong, M.;Okumu, B. O.;Vo, T. B. T.;Sander, B. O.",,Global Food Security ,2019,volume 23; pages 33-40.,"Abstract Climate-smart Agriculture (CSA) represents a commonly accepted term in referring to intended changes in agriculture production addressing climate change. Although specific definitions may vary, CSA is typically conceived as having three pillars, namely Adaptation, Food Security and Mitigation. These three pillars as such, however, do not suffice for assessing scaling potentials of different CSA technologies as several other drivers may accelerate or impede large-scale adoption. This paper introduces a systematic approach for a comparative assessment of technology-specific scaling potentials distinguishing among three clusters of criteria.  The ranking system requires scoring of CSA technologies by different stakeholder groups, namely farmers and extension workers/policy makers as well as research-based scoring. These scored values are then incorporated into a formula for calculating technology-specific ranking indices. This procedure also includes weighting factors to account for high and low significance of individual criteria for CSA scaling.  The entire scoring procedure is illustrated through the case of a Climate-smart Village in Laos which is dominated by rainfed rice with low resource inputs. Improvements of rice varieties and seed systems clearly emerged as the most promising CSA intervention. Ideally, seeds used by farmers should (i) be a drought-tolerant rice variety and (ii) have better quality in terms of seed vigor and purity. Finally, the article discusses the applicability and versatility of this ranking system for other land use systems.",English,,Rice thesaurus,https://doi.org/10.1016/j.gfs.2019.02.003,https://drive.google.com/file/d/1NDRec4KdrXI3Z1eE06whNV0bpM6YACgG/view,JA
Climate uncertainty and policy making—what do policy makers want to know?,,,"Meah, Nafees",,,Regional Environmental Change ,2019,(e-first copy); 11 pages.,"Abstract In climate change science, the existence of a high degree of uncertainty seems to be the cause of anxiety for many scientists because it appears to undermine the authority of the science. One of the assertions made by the so-called sceptics against the scientific consensus on climate change is that because the science is so uncertain, there is no basis for taking action. The response of the climate change science community has been to develop in-depth analyses of uncertainty of increasing sophistication and complexity. In most areas of policy making, the normal situation is characterised by complexity, ambiguity and uncertainty. Therefore, dealing with uncertainty is not an unusual state of affairs for policy makers. However, the overemphasis given to uncertainty in the climate science discourse by scientists working in the field has been self-defeating as it has led to confusion among the intended recipients of the policy relevant scientific knowledge and allowed room for scepticism to grow. Climate change scientists should instead communicate and engage with policy makers (and the public) on those things that we know with confidence.",English,,Rice thesaurus,https://doi.org/10.1007/s10113-019-01492-w,https://drive.google.com/file/d/1vTE07zSf0lsQtB-dfBg4uvg11LuQpBAG/view,JA
Metabolic responses of rice cultivars with different tolerance to combined drought and heat stress under field conditions,,,"Lawas, L. M. F.","Li, X.;Erban, A.;Kopka, J.;Krishna Jagadish, S. V.;Zuther, E.;Hincha, D. K.",,GigaScience  ,2019,"volume 8, no. 5; pages 1-21.","Background Rice is susceptible to both drought and heat stress, in particular during flowering and grain filling, when both grain yield and quality may be severely compromised. However, under field conditions, these 2 stresses rarely occur separately. Under well-watered conditions, plants avoid heat stress by transpirational cooling, while this is not possible under drought conditions. Although investigating combined drought and heat stress is clearly more agronomically relevant than analyzing the effects of the single stresses, only a few studies of this stress combination, in particular under field conditions, have been published. Results Three rice cultivars differing in drought and heat tolerance were grown in the field under control and drought conditions in 3 consecutive years. Drought was applied either during flowering or during early grain filling and resulted in simultaneous heat stress, leading to reduced grain yield and quality. Analysis by gas chromatography−mass spectrometry showed distinct metabolic profiles for the 3 investigated organs (flag leaves, flowering spikelets, developing seeds). The metabolic stress responses of the plants also strongly differed between cultivars and organs. Correlation analysis identified potential metabolic markers for grain yield and quality under combined drought and heat stress from both stress-regulated metabolites and from metabolites with constitutive differences between the cultivars. Conclusions Gas chromatography−mass spectrometry resolved metabolic responses to combined drought and heat stress in different organs of field-grown rice. The metabolite profiles can be used to identify potential marker metabolites for yield stability and grain quality that are expected to improve breeding efforts towards developing rice cultivars that are resilient to climate change.",English,,Crossref,https://doi.org/10.1093/gigascience/giz050,https://drive.google.com/a/irri.org/file/d/1Ubg2A3liaeClhu5BXf7lP6t0qCP4kKXc/view?usp=drive_open,JA
"Genome-wide association study reveals significant genomic regions for improving yield, adaptability of rice under dry direct seeded cultivation condition",,,"Subedi, S. R.","Sandhu, Nitika;Singh, Vikas Kumar;Sinha, Pallavi;Kumar, Santosh;Singh, S. P.;Ghimire, Surya Kant;Pandey, Madhav;Yadaw, Ram Baran;Varshney, Rajeev K.;Kumar, Arvind",,BMC Genomics,2019,"volume 20, no. 471; pages 1-20.","Background  Puddled transplanted system of rice cultivation despite having several benefits, is a highly labor, water and energy intensive system. In the face of changing climatic conditions, a successful transition from puddled to dry direct seeded rice (DDSR) cultivation system looks must in future. Genome-wide association study was performed for traits including, roots and nutrient uptake (14 traits), plant-morphological (5 traits), lodging-resistance (4 traits) and yield and yield attributing traits (7 traits) with the aim to identify significant marker-trait associations (MTAs) for traits enhancing rice adaptability to dry direct-seeded rice (DDSR) system.  Results  Study identified a total of 37 highly significant MTAs for 20 traits. The false discovery rate (FDR) ranged from 0.264 to 3.69 × 10− 4, 0.0330 to 1.25 × 10− 4, and 0.0534 to 4.60 × 10− 6 in 2015WS, 2016DS and combined analysis, respectively. The percent phenotypic variance (PV) explained by SNPs ranged from 9 to 92%. Among the identified significant MTAs, 15 MTAs associated with the traits including nodal root, root hair length, root length density, stem and culm diameter, plant height and grain yield were reported to be located in the proximity of earlier identified candidate gene. The significant positive correlation of grain-yield with seedling establishment traits, root morphological and nutrient-uptake related traits and grain yield attributing traits pointing towards combining target traits to increase rice yield and adaptability under DDSR. Seven promising progenies with better root morphology, nutrient-uptake and higher grain yield were identified that can further be used in genomics assisted breeding for DDSR varietal development.  Conclusions  Once validated, the identified MTAs and the SNPs linked with trait of interest could be of direct use in genomic assisted breeding (GAB) to improve grain yield and adaptability of rice under DDSR.",English,,Crossref,https://doi.org/10.1186/s12864-019-5840-9,https://drive.google.com/file/d/1j3_Je5nlsVqBxll34jJcVjIuF6k4pUIW/view,JA
"Plant sciences, public policies and food security",,,"Zeigler, Robert S.",,,Outlook on Agriculture,2019,(e-first copy); 9 pages.,"Food security was a major global concern in the second half of the 20th century. A positive feedback loop between public policy and technological innovation created abundant food supplies that averted predictions of famine and social chaos. Following the successful global effort to combat hunger, policy attention turned to problems of the environmental footprint of agriculture and other nutrition and diet-related health problems. Policies are developed in response to challenges presented by technology-induced change. As the rate of technological change accelerates, policy makers struggle to keep up and policies risk becoming irrelevant or stymying positive impact of innovation. Public or philanthropic investments created the foundation for private investment in technologies that have been widely adopted. As the public sector reduces its investments in research and development, it is not clear that the private sector has the appetite or means to make the needed investments. Examples of challenges facing agriculture and food security include access to and use of genetic resources, genetically modified crops and the global community’s ability to respond to and mitigate human-induced climate change. Proposed solutions to the world’s many serious challenges almost invariably involve some kind of coordinated and coherent multilateral institutional actions. Yet, today, global political trends appear to be shifting to more unilateral, bilateral and nationalistic perspectives hampering our capacity to respond effectively.",English,,Crossref,https://doi.org/10.1177/0030727019868776,https://drive.google.com/file/d/1NA5RJUDaQ-W4x58Ivnh2Byyu-UTutWTh/view,JA
Site-specific feasibility of alternate wetting and drying as a greenhouse gas mitigation option in irrigated rice fields in Southeast Asia: a synthesis,,,"Tirol-Padre, A.","Minamikawa, K.;Tokida, T.;Wassmann, R.;Yagi, K.",,Soil Science and Plant Nutrition ,2018,"volume 64, no. 1; pages 2-13, ill. Ref.","This study comprises a comprehensive assessment, integration, and synthesis of data gathered from a 3-year field experiment conducted at four sites in Southeast Asia, namely Hue, Vietnam; Jakenan, Indonesia; Prachin Buri, Thailand; and Muñoz, Philippines, to assess the site-specific feasibility of alternate wetting and drying (AWD) as a greenhouse gas (GHG) mitigation option in irrigated rice fields. AWD effectively reduced water use compared to continuous flooding (CF) but did not significantly reduce rice grain yield and soil carbon content in all sites. Methane (CH4) emissions varied significantly among sites and seasons as affected by soil properties and water management. AWD reduced CH4 emissions relative to CF by 151 (25%), 166 (37%), 9 (31%), and 22 (32%) kg CH4 ha−1 season−1 in Hue, Jakenan, Prachin Buri, and Muñoz, respectively. In Prachin Buri and Muñoz, AWD reduced CH4 emissions only during the dry season. Site-specific CH4 emission factors (EFs) ranged 0.13–4.50 and 0.08–4.88 kg CH4 ha−1 d−1 under CF and AWD, respectively. The mean AWD scaling factors (SFs) was 0.69 (95% confidence interval: 0.61–0.77), which is slightly higher than the Intergovernmental Panel on Climate Change (IPCC)’ SF for multiple aeration of 0.52 (error range: 0.41–0.66). Significant reductions in the global warming potential (GWP) of CH4+nitrous oxide (N2O) by AWD were observed in Hue and Jakenan (27.8 and 36.1%, respectively), where the contributions of N2O to the total GWP were only 0.8 and 3.5%, respectively. In Muñoz, however, CH4 emission reduction through AWD was offset by the increase in N2O emissions. The results indicate that the IPCC’s SF for multiple aeration may only be applied to irrigated rice fields where surface water level is controllable for a substantial period. This study underscores the importance of practical feasibility and appropriate timing of water management in successful GHG reductions by AWD.",English,,Rice thesaurus,https://doi.org/10.1080/00380768.2017.1409602,https://drive.google.com/file/d/1EVs6LYAg5r8_zSD2WEcVUyy7wPvWtG3g/view,JA
Breeding implications of drought stress under future climate for upland rice in Brazil,,,"Ramirez-Villegas, J.","Heinemann, A. B.;de Castro, A. P.;Breseghello, F.;Navarro-Racines, C.;Tao, L.;Rebolledo, M. C.;Challinor, A. J.",,Global Change Biology  ,2018,"(e-first copy); 31 pages, ill. Ref.","Rice is the most important food crop in the developing world. For rice production systems to address the challenges of increasing demand and climate change, potential and on-farm yield increases must be increased. Breeding is one of the main strategies toward such aim. Here, we hypothesise that climatic and atmospheric changes for the upland rice growing period in central Brazil are likely to alter environment groupings and drought stress patterns by 2050, leading to changing breeding targets during the 21st century. As a result of changes in drought stress frequency and intensity, we found reductions in productivity in the range of 200-600 kg ha−1 (up to 20%) and reductions in yield stability throughout virtually the entire upland rice growing area (except for the south-east). In the face of these changes, our crop simulation analysis suggests that the current strategy of the breeding program, which aims at achieving wide adaptation, should be adjusted. Based on results for current and future climates, a weighted selection strategy for the three environmental groups that characterise the region is suggested. For the highly favourable environment (HFE, 36–41% growing area, depending on RCP), selection should be done under both stress-free and terminal stress conditions; for the favourable environment (FE, 27–40%), selection should aim at testing under reproductive and terminal stress; and for the least favourable environment (LFE, 23–27%), selection should be conducted for response to reproductive stress only and for the joint occurrence of reproductive and terminal stress. Even though there are differences in timing, it is noteworthy that stress levels are similar across environments, with 40–60% of crop water demand unsatisfied. Efficient crop improvement targeted toward adaptive traits for drought tolerance will enhance upland rice crop system resilience under climate change.",English,Brazil;Breeding programmes;Climatic factors;Climatic change;Drought stress;Drought tolerance;Plant breeding;Production,Rice thesaurus,https://doi.org/10.1111/gcb.14071,https://drive.google.com/file/d/1wEUN2S22Pg7M7DW1onLox-BUSg8-5VlA/view,JA
Simultaneous comparison and assessment of eight remotely sensed maps of Philippine forests,,,"Estoque, R. C.","Pontius, R. J., Jr.;Murayama, Y.;Hou, H.;Thapa, R, B.;Lasco, R. D.;Villar, M. A.",,International Journal of Applied Earth Observation and Geoinformation ,2018,"volume 67; pages 123-134, ill. Ref. May","This article compares and assesses eight remotely sensed maps of Philippine forest cover in the year 2010. We examined eight Forest versus Non-Forest maps reclassified from eight land cover products: the Philippine Land Cover, the Climate Change Initiative (CCI) Land Cover, the Landsat Vegetation Continuous Fields (VCF), the MODIS VCF, the MODIS Land Cover Type product (MCD12Q1), the Global Tree Canopy Cover, the ALOS-PALSAR Forest/Non-Forest Map, and the GlobeLand30. The reference data consisted of 9852 randomly distributed sample points interpreted from Google Earth. We created methods to assess the maps and their combinations. Results show that the percentage of the Philippines covered by forest ranges among the maps from a low of 23% for the Philippine Land Cover to a high of 67% for GlobeLand30. Landsat VCF estimates 36% forest cover, which is closest to the 37% estimate based on the reference data. The eight maps plus the reference data agree unanimously on 30% of the sample points, of which 11% are attributable to forest and 19% to non-forest. The overall disagreement between the reference data and Philippine Land Cover is 21%, which is the least among the eight Forest versus Non-Forest maps. About half of the 9852 points have a nested structure such that the forest in a given dataset is a subset of the forest in the datasets that have more forest than the given dataset. The variation among the maps regarding forest quantity and allocation relates to the combined effects of the various definitions of forest and classification errors. Scientists and policy makers must consider these insights when producing future forest cover maps and when establishing benchmarks for forest cover monitoring.",English,Agroforestry;Climatic change;Mapping;Modis;Monitoring;Philippines;Remote sensing,Rice thesaurus,https://doi.org/10.1016/j.jag.2017.10.008,https://drive.google.com/file/d/1PiElEX771Y9CmwSttprw1Fyd6gG8QyJl/view,JA
The climate-smart village approach: framework of an integrative strategy for scaling up adaptation options in agriculture,,,"Aggarwal, P. K.","Jarvis, A.;Campbell, B. M.;Zougmoré, R. B.;Khatri-Chhetri, A.;Vermeulen, S. J.;Loboguerrero, A. M.;Sebastian, L. S.;Kinyangi, J.;Bonilla-Findji, O.;Radeny, M.;Recha, J.;Martinez-Baron, D.;Ramirez-Villegas, J.;Huyer, S.;Thornton, P.;Wollenberg, E.;Hansen, J.;Alvarez-Toro, P.;Aguilar-Ariza, A.;Arango-Londoño, D.;Patiño-Bravo, V.;Rivera, O.;Ouedraogo, M.;Yen, B. T.",,Ecology and Society  ,2018,"volume 23, no. 1; 15 pages","Increasing weather risks threaten agricultural production systems and food security across the world. Maintaining agricultural growth while minimizing climate shocks is crucial to building a resilient food production system and meeting developmental goals in vulnerable countries. Experts have proposed several technological, institutional, and policy interventions to help farmers adapt to current and future weather variability and to mitigate greenhouse gas (GHG) emissions. This paper presents the climate-smart village (CSV) approach as a means of performing agricultural research for development that robustly tests technological and institutional options for dealing with climatic variability and climate change in agriculture using participatory methods. It aims to scale up and scale out the appropriate options and draw out lessons for policy makers from local to global levels. The approach incorporates evaluation of climate-smart technologies, practices, services, and processes relevant to local climatic risk management and identifies opportunities for maximizing adaptation gains from synergies across different interventions and recognizing potential maladaptation and trade-offs. It ensures that these are aligned with local knowledge and link into development plans. This paper describes early results in Asia, Africa, and Latin America to illustrate different examples of the CSV approach in diverse agroecological settings. Results from initial studies indicate that the CSV approach has a high potential for scaling out promising climate-smart agricultural technologies, practices, and services. Climate analog studies indicate that the lessons learned at the CSV sites would be relevant to adaptation planning in a large part of global agricultural land even under scenarios of climate change. Key barriers and opportunities for further work are also discussed.",English,Adaptation;Climatic change;Climatic factors;Cropping systems;Food security;Growth,Rice thesaurus,https://doi.org/10.5751/ES-09844-230114,https://drive.google.com/file/d/1wSfWPfnfZlICTG2NLIWpaGafoeh6s4zb/view,JA
"Weed research issues, challenges, and opportunities in India",,,"Rao, A. N.","Singh, R. G.;Mahajan, G.;Wani, S. P.",,Crop Protection,2018,"(e-first copy): 8 pages, ill. Ref.","Agriculture is the major source of livelihood for nearly half of the Indian population. However, the productivity of crops is much lower than many countries and needs enhancement to produce ∼400 million tons of food grains for meeting food demands of a population of 1.7 billion by 2050. Diverse climatic conditions in India favor the most adopted weeds to prevail and cause severe crop yield losses. Weeds also degrade quality of the produce, raise cost of production; harbor and serve as alternate hosts to several insect pests and diseases. Parthenium hysterophorus L Phalaris minor Retz Leptochloa chinensis (L.) Nees Echinochloa spp weedy rice; Lantana camara L Chromolaena odorata (L.) R.M. King & H. Rob Mikania micrantha Kunth., are a few of many major weeds of concern currently in India. Weed management in India is critical to improve crops productivity by minimizing weeds caused crop yield losses and to alleviate other adverse effects of weeds in different ecosystems. In spite of the progress made in evolving weed management technologies for different crops and other ecosystems, weeds continue to be a concern in varying ecosystems. The real challenges of Indian weed research are: managing weeds in small farms; non availability of labor and mechanical tools; inadequate information on weed biology and shifts in weed flora; herbicide resistant weeds; lack of understanding on the impact of climate change on weeds and weed control; popularizing integrated weed management with herbicides use by ensuring safe use to avoid adverse effect on human health, environment and avoid weeds developing herbicide resistance and prevention of entry and management of alien invasive weeds. The greatest opportunity of Indian weed science is the potentiality of appropriate weed management technologies to substantially improve the crops productivity. Thus, weed scientists have a greater role to play in the development, popularization and adoption of location specific effective, economical and eco-friendly weed management technologies for different ecosystems of India.",English,Crossing;India;Plant breeding;Quantitative trait loci;Research;Weed control;Weeds,Rice thesaurus,https://doi.org/10.1016/j.cropro.2018.02.003,https://drive.google.com/file/d/1Z8qmm5Zp1jUHVOH2QDzD8ub0HgG9LQap/view,JA
