Title,Authors,Author affiliations,Abstract,DOI,Repository link,Publication date,Journal,ISSN,Publisher,Volume,Issue,Subjects,Funders,Pages
Recent breeding programs enhanced genetic diversity in both desi and kabuli varieties of chickpea (Cicer arietinum L.),"Thudi, M; Chitikineni, A; Liu, X; He, W; Roorkiwal, M; Yang, W; Jian, J; Doddamani, D; Gaur, P M; Rathore, A; Samineni, S; Saxena, R K; Xu, D; Singh, N P; Chaturvedi, S K; Zhang, G; Wang, J; Datta, S K; Xu, X; Varshney, R K","ICRISAT (Patancheru); BGI (Shenzhen); All India Coordinated Research Project (AICRP) on Chickpea, Indian Council of Agricultural Research (ICAR) (New Delhi); Indian Institute of Pulses Research (IIPR), Indian Council of Agricultural Research (ICAR) (Kanpur); Visva-Bharati (Santiniketan)","In order to understand the impact of breeding on genetic diversity and gain insights into temporal trends in diversity in chickpea, a set of 100 chickpea varieties released in 14 countries between 1948 and 2012 were re-sequenced. For analysis, the re-sequencing data for 29 varieties available from an earlier study was also included. Copy number variations and presence absence variations identified in the present study have potential to drive phenotypic variations for trait improvement. Re-sequencing of a large number of varieties has provided opportunities to inspect the genetic and genomic changes reflecting the history of breeding, which we consider as breeding signatures and the selected loci may provide targets for crop improvement. Our study also reports enhanced diversity in both desi and kabuli varieties as a result of recent chickpea breeding efforts. The current study will aid the explicit efforts to breed for local adaptation in the context of anticipated climate changes.",10.1038/srep38636,http://oar.icrisat.org/id/eprint/9990,2016,Scientific Reports,2045-2322,Nature Publishing Group,6,38636,genetic relationships; genome diversity trends; chickpea; breeding programs,,1-10
"Impact of climate change on insect pests, plant chemical ecology, tritrophic interactions and food production","War, A R; Taggar, G K; War, M Y; Hussain, B","ICRISAT (Patancheru); Department of Plant Breeding & Genetics, Punjab Agricultural University (Ludhiana); Department of Botany and Biotechnology, Degree College (Sopore); Department of Entomology, SKUAST-K; Shalimar (Srinagar)","Climate change is a major concern for agriculture globally. Dynamic climatic parameters including
increased temperature and carbon dioxide have greatly affected crop production. As a consequence of
climatic uncertainties, new insect pests have emerged, the crop cultivation practices have changed, and
drought and floods have created havoc around the globe. Besides, plant and insecticidal resistance against
insects and diseases has got compromised, the diversity and abundance of arthropods has changed,
geographical ranges of insect pests have extended far beyond their existing limits and new biotypes have
evolved. All these have led to the reduced efficacy of crop protection technologies, huge crop losses,
thereby, food insecurity. Although concerted efforts have been made and simulation models have been
developed to mitigate the climate change effects on plants, still, most simulation models fail to account
for losses due to pests, weeds and diseases. In addition, the monitoring data of insect pests are not
available in most of the developing countries and the software models developed for prediction analysis
are not effective against insect- pests. This review highlights the possible impacts of climate change on
phytophagous insects, chemical ecology, and plant pest interactions leading to food insecurity and the
strategies thereof.",http://www.ijcbs.com/current-issue.php,http://oar.icrisat.org/id/eprint/9735,2016,International Journal of Clinical and Biological Sciences,2455-6858,Scientia International Publishers (SIP),1,2,climate change; increased co2; plant insect-interactions; food security; pest management,,16-29
Agronomic improvements can make future cereal systems in South Asia far more productive and result in a lower environmental footprint,"Ladha, J K; Rao, A N; Raman, A; Padre, A T; Dobermann, A; Gathala, M; Kumar, V; Sharawat, Y S; Sharma, S; Piepho, H P; Alam, M M; Liak, R; Rajendran, R; Reddy, C K; Parsad, R; Sharma, P C; Singh, S S; Saha, A; Noor, S","International Rice Research Institute (New Delhi); IRRI(Laguna); Rothamsted Research, Harpenden (Hertfordshire); International Maize and Wheat Improvement Center(CIMMYT) (Dhaka); Indian Agricultural Research Institute (New Delhi); Universitaet Hohenheim, Biostatistics Unit (Stuttgart); IRRI(Dhaka); Rajendra Agricultural University (Samastipur); Tamil Nadu Rice Research Institute (Aduthurai); Indian Agriculture Statistical Research Institute (New Delhi); Central Soil Salinity Research Institute (Karnal); ICAR Research Complex for Eastern Region, ICAR Parisar, Bihar Veterinary College (Patna); Bangladesh Rice Research Institute (Gazipur); Bangladesh Agricultural Research Institute (Gazipur); ICRISAT (Patancheru)","South Asian countries will have to double their food production by 2050 while using resources more efficiently and minimizing environmental problems. Transformative management approaches and technology solutions will be required in the major grain-producing areas that provide the basis for future food and nutrition security. This study was conducted in four locations representing major food production systems of densely populated regions of South Asia. Novel production-scale research platforms were established to assess and optimize three futuristic cropping systems and management scenarios (S2, S3, S4) in comparison with current management (S1). With best agronomic management practices (BMPs), including conservation agriculture (CA) and cropping system diversification, the productivity of rice- and wheat-based cropping systems of South Asia increased substantially whereas the global warming potential intensity decreased. Positive economic returns and less use of water, labor, nitrogen, and fossil fuel energy per unit food produced were achieved. In comparison to S1, S4, in which BMPs, CA and crop diversification were implemented in the most integrated manner, achieved 54% higher grain energy yield with a 104% increase in economic returns, 35% lower total water input, and a 43% lower global warming potential intensity. Conservation agriculture practices were most suitable for intensifying as well as diversifying wheat-rice rotations, but less so for rice-rice systems. This finding also highlights the need for characterizing areas suitable for CA and subsequent technology targeting. A comprehensive baseline dataset generated in the present study will allow the prediction of extending benefits to a larger scale.",10.1111/gcb.13143,http://oar.icrisat.org/id/eprint/9205,2015-12-14,Global Change Biology,1354-1013,Wiley,,,agronomic improvements; cereals; south asia; environmental aspects; food production; agronomic management practices; best management practices; cereal productivity; cereals systems; conservation agriculture; crop diversification; global warming potential; rice-based cropping system; climate change,,01-21
Technical and institutional attributes constraining the performance of small-scale irrigation in Ethiopia,"Amede, T",ICRISAT (Nairobi),"Small-scale irrigation is playing an important role in adapting to climate change, achieving food security, and improving household incomes. The Ethiopian Government considers irrigated agriculture as a primary engine of economic growth and plans to increase the current level of irrigation infrastructure three-fold by the end of 2015. However, there has been concern regarding the performance and management of existing small-scale irrigation. Based on the assessment of 52 small-scale irrigation schemes, and three case study sites, we describe the challenges and interventions required to improve irrigation water management in Ethiopia. Though most schemes are operational, many do not operate at full capacity, due to design failures, excessive siltation, poor agronomic and water management practices, and weak local institutions. In addition to low returns, there is competition for irrigation water between upstream and downstream users, vegetable growers and cereal growers, and between farmers with large irrigable plots and those with small plots. Despite these challenges, our field assessment revealed that small scale irrigation increases crop yields, improves crop diversification, and reduces the risk of crop failure. We emphasize in this paper the need for incentives to improve productivity and minimize conflicts, while enhancing innovation capacity, developing scheme-specific intensification strategies, and promoting collective action. We also describe how benefits from water investments could be substantially increased by overcoming design constraints, strengthening water user associations, and protecting catchments.",10.1016/j.wrr.2014.10.005,http://oar.icrisat.org/id/eprint/9360,2015-11,Water Resources and Rural Development,6082,Elsevier,6,-,irrigation management; water; productivity; incentives; communities; small-scale irrigation; ethiopia,,78-91
Stability Performance of Inductively Coupled Plasma Mass Spectrometry-Phenotyped Kernel Minerals Concentration and Grain Yield in Maize in Different Agro-Climatic Zones,"Mallikarjuna, M G; Thirunavukkarasu, N; Hossain, F; Bhat, J S; Jha, S K; Rathore, A; Agrawal, P K; Pattanayak, A; Reddy, S S; Gularia, S K; Singh, A M; Manjaiah, K M; Gupta, H S","Maize Research Lab, Division of Genetics, ICAR-Indian Agricultural Research Institute (New Delhi); ICAR-Indian Agricultural Research Institute, Regional Research Centre (Dharwad); ICRISAT (Patancheru); ICAR-Vivekanand Parvatiya Krishi Anusandhan Sansthan (Almora); ICAR Research Complex for North Eastern Hill Region (Umiam); Professor Jayshankar Telangana State Agricultural University (Hyderabad); C.S.K. Himachal Pradesh Krishi Viswavidyalaya (Bajaura); Grain Quality Laboratory, Division of Genetics, ICAR-Indian Agricultural Research Institute (New Delhi); Division of Soil Science and Agricultural Chemistry, ICAR-Indian Agricultural Research Institute (New Delhi); Borlaug Institute for South Asia (New Delhi)","Deficiency of iron and zinc causes micronutrient malnutrition or hidden hunger, which
severely affects ~25% of global population. Genetic biofortification of maize has emerged
as cost effective and sustainable approach in addressing malnourishment of iron and zinc
deficiency. Therefore, understanding the genetic variation and stability of kernel micronutrients
and grain yield of the maize inbreds is a prerequisite in breeding micronutrient-rich high
yielding hybrids to alleviate micronutrient malnutrition. We report here, the genetic variability
and stability of the kernel micronutrients concentration and grain yield in a set of 50 maize
inbred panel selected from the national and the international centres that were raised at six
different maize growing regions of India. Phenotyping of kernels using inductively coupled
plasma mass spectrometry (ICP-MS) revealed considerable variability for kernel minerals
concentration (iron: 18.88 to 47.65 mg kg–1; zinc: 5.41 to 30.85 mg kg–1; manganese: 3.30
to17.73 mg kg–1; copper: 0.53 to 5.48 mg kg–1) and grain yield (826.6 to 5413 kg ha–1). Significant
positive correlation was observed between kernel iron and zinc within (r = 0.37 to r =
0.52, p < 0.05) and across locations (r = 0.44, p < 0.01). Variance components of the additive
main effects and multiplicative interactions (AMMI) model showed significant genotype
and genotype × environment interaction for kernel minerals concentration and grain yield.
Most of the variation was contributed by genotype main effect for kernel iron (39.6%), manganese
(41.34%) and copper (41.12%), and environment main effects for both kernel zinc
(40.5%) and grain yield (37.0%). Genotype main effect plus genotype-by-environment interaction
(GGE) biplot identified several mega environments for kernel minerals and grain
yield. Comparison of stability parameters revealed AMMI stability value (ASV) as the better
representative of the AMMI stability parameters. Dynamic stability parameter GGE distance
(GGED) showed strong and positive correlation with both mean kernel concentrations and
grain yield. Inbreds (CM-501, SKV-775, HUZM-185) identified from the present investigation
will be useful in developing micronutrient-rich as well as stable maize hybrids without
compromising grain yield.",10.1371/journal.pone.0139067,http://oar.icrisat.org/id/eprint/9034,2015-09-25,PLoS ONE,1932-6203,Public Library of Science,,,maize; inbred strains; kernel methods; manganese; malnutrition; phenotypes; micronutrient deficiencies; plant breeding; climate change,ICARNPTC on Functional Genomics,01-24
Influence of CO2 and Temperature on Metabolism and Development of Helicoverpa armigera (Noctuidae: Lepidoptera),"Akbar, S M D; Pavani, T; Nagaraja, T; Sharma, H C","ICRISAT (Patancheru); Department of Entomology, ANGRAU (Hyderabad)","Climate change will have a major bearing on survival and development of insects as a result of increase in CO2 and temperature. Therefore, we studied the direct effects of CO2 and temperature on larval development and metabolism in cotton bollworm, Helicoverpa armigera (Hübner). The larvae were reared under a range of CO2 (350, 550, and 750 ppm) and temperature (15, 25, 35, and 45°C) regimes on artificial diet. Elevated CO2 negatively affected the larval survival, larval weight, larval period, pupation, and adult emergence, but showed a positive effect on pupal weight, pupal period, and fecundity. Increase in temperature exhibited a negative effect on larval survival, larval period, pupal weights, and pupal period, but a positive effect on larval growth. Pupation and adult emergence were optimum at 25°C. Elevated CO2 and temperature increased food consumption and metabolism of larvae by enhancing the activity of midgut proteases, carbohydrases (amylase and cellulase), and mitochondrial enzymes and therefore may cause more damage to crop production. Elevated CO2 and global warming will affect insect growth and development, which will change the interactions between the insect pests and their crop hosts. Therefore, there is need to gain an understanding of these interactions to develop strategies for mitigating the effects of climate change.",10.1093/ee/nvv144,http://oar.icrisat.org/id/eprint/9004,2015-09,Environmental Entomology,0046-225X,Oxford University Press on behalf of Entomological Society of America,,,helicoverpa armigera; elevated co2; global warming; midgut protease; amylase,,01-11
"Annual water, sediment, nutrient, and organic carbon fluxes in river basins: A global meta‐analysis as a function of scale","Mutema, M; Chaplot, V; Jewitt, G; Chivenge, P; Bloschl, G","School of Agricultural, Earth and Environmental Sciences, Centre for Water Resources Research, University of KwaZulu- Natal (Pietermaritzburg); Institut de Recherche pour le Développement, Laboratoire d'Océanographie et du Climat, Université Pierre et Marie Curie, UMR 7159, IRD/UPMC/CNRS/MNHN Institut Pierre Simon Laplace (Paris); Umgeni Water Chair of Water Resources Management, Centre for Water Resources Research, University of KwaZulu- Natal (Pietermaritzburg); ICRISAT (Bulawayo); Institute of Hydraulic Engineering and Water Resources Management, Vienna University of Technology (Vienna)","Process controls on water, sediment, nutrient, and organic carbon exports from the landscape through runoff are not fully understood. This paper provides analyses from 446 sites worldwide to evaluate the impact of environmental factors (MAP and MAT: mean annual precipitation and temperature; CLAY and BD: soil clay content and bulk density; S: slope gradient; LU: land use) on annual exports (RC: runoff coefficients; SL: sediment loads; TOCL: organic carbon losses; TNL: nitrogen losses; TPL: phosphorus losses) from different spatial scales. RC was found to increase, on average, from 18% at local scale (in headwaters), 25% at microcatchment and subcatchment scale (midreaches) to 41% at catchment scale (lower reaches of river basins) in response to multiple factors. SL increased from microplots (468 g m−2 yr−1) to plots (901 g m−2 yr−1), accompanied by decreasing TOCL and TNL. Climate was a major control masking the effects of other factors. For example, RC, SL, TOCL, TNL, and TPL tended to increase with MAP at all spatial scales. These variables, however, decreased with MAT. The impact of CLAY, BD, LU, and S on erosion variables was largely confined to the hillslope scale, where RC, SL, and TOCL decreased with CLAY, while TNL and TPL increased. The results contribute to better understanding of water, nutrient, and carbon cycles in terrestrial ecosystems and should inform river basin modeling and ecosystem management. The important role of spatial climate variability points to a need for comparative research in specific environments at nested spatiotemporal scales.",10.1002/2014wr016668,http://oar.icrisat.org/id/eprint/10807,2015-09,Water Resources Research,0043-1397,Wiley,51,11,climate; spatial scale; organic carbon and nutrient erosion; sediments; water pollution; runoff coefficient; organic carbon fluxes; meta-analysis; soil erosion; climate change,,8949-8972
"The Role of Vegetables and Legumes in Assuring Food, Nutrition, and Income Security for Vulnerable Groups in Sub-Saharan Africa","Ojiewo, C O; Keatinge, D J D H; Hughes, J; Tenkouano, A; Nair, R K; Varshney, R K; Siambi, S; Monyo, E S; Ganga Rao, N V P R; Silim, S",ICRISAT (Addis Ababa); AVRDC -The World Vegetable Center (Shanhua); AVRDC -The World Vegetable Center (Patancheru); ICRISAT(Patancheru); ICRISAT(Nairobi); ICRISAT(Lilongwe),"Rising food and nutritional insecurity threatens the livelihoods of millions of poor people, particularly in sub-Saharan Africa. Vegetable and legume production and consumption are a potent mechanism for small-scale, disadvantaged farmers to obtain the required nutrients in their diets and to generate much-needed income through trade. Vegetables and legumes are key sources of nutrients and health-promoting phytochemicals, providing higher micronutrient contents and a wider spectrum of essential compounds to meet nutritional and health needs than other food sources. Diversifying diets with vegetables and legumes is a cheaper, surer, and more sustainable way to supply a range of nutrients to the body and combat malnutrition and associated health problems than other approaches that target only a single or a few nutritional factors. Furthermore, vegetables and legumes often accompany staple crops in meals, and most staple crops are less palatable without vegetable or legume accompaniments. As a growing world population demands more and higher quality foods, and as environmental problems such as soil degradation, water scarcity, biodiversity loss, and climate change become more acute, the need for innovative vegetable and legume research solutions to improve food and nutritional security cannot be overemphasized.",10.1002/wmh3.148,http://oar.icrisat.org/id/eprint/9002,2015-09,World Medical & Health Policy,2153-2028,Wiley,7,3,nutrition; income security; vegetables; legumes; africa,,187-210
The value and benefits of using seasonal climate forecasts in agriculture: evidence from cowpea and sesame sectors in climate-smart villages of Burkina Faso,"Ouedraogo, M; Zougmore, R B; Barry, S; Somé, L; Grégoire, B","CCAFS West Africa programme, ICRISAT (Bamako); Institut de l’Environnement et de Recherches Agricoles (INERA) (Ouagadougou); Direction Générale de la Météorologie (DGM) (Ouagadougou)","This infonote summarizes initial findings of a project entitled “Impact of communicating seasonal climate forecasts to cowpea and sesame farmers in Yatenga region, North Burkina Faso’” undertaken during the 2014 main agricultural season by scientists from the CCAFS West Africa programme and the Institut de l’Environnement et de Recherches Agricoles (INERA), Burkina Faso. Sesame is a cash crop promoted in recent years to respond to a growing global demand. Quite versatile and produced across the country, yields remain low with an average of 300-350kg/ha. National production was estimated at around 60,000 tons in 2012, mostly for export. Cowpea is a key legume crop, mostly cultivated by smallholder farmers in intercropping with cereals (95%). Yields are low (around 300kg/ha) while it could reach 1,500kg/ha in monoculture. Just a minority (5%) of farmers use modern inputs (improved seeds, fertilizer) and market their grain for the regional market. This project aims at assessing:  The effect of climate information services on farm productivity and incomes for cowpea and sesame farmers in the Yatenga region;  Farmers’ willingness to pay for such climate information services  Lessons learned for potential scaling up of communicating climate forecasts services in the cowpea and sesame sector as a way to improve farmer climate resilience and productivity. Such studies are also being carried out in climate-smart villages in Senegal (Kaffrine region).",,http://oar.icrisat.org/id/eprint/9777,2015-09,CCAFS Info Note,,"Climate Change, Agriculture and Food Security",,,seasonal climate forecasts; cowpea; sesame; climate-smart villages; burkina faso; climate change,,01-04
"Effect of Some Environmental Factors on Incidence and Severity of Angular Leaf Spot of Cotton in Yola and Mubi, Adamawa State, Nigeria","Tuti, N Z; Nahunnaro, H; Ayuba, K","Federal Polytechnic (Mubi); Department of Crop Protection, Modibbo Adams University of Technology (Yola); ICRISAT (Kano)","Environmental factors such as relative humidity and rainfall generally have been found to increase the incidence, rate of spread and severity of diseases thereby reducing yield of crops. Study was conducted on five cotton varieties, which were artificially inoculated with bacterial blight pathogen to determine the effects of rainfall and relative humidity on incidence and severity of angular leaf spot (ALS) and yield of seed cotton in Yola and Mubi. Results showed that the severity of ALS was higher in Yola (58.65%) at 13 WAS assumed to be due to higher relative humidity range of 76% - 87% and low rainfall of 2 - 40.6 mm. This is assumed to have favoured disease development as against that of Mubi location which recorded lower severity (51.11%) due to lower relative humidity (42% - 55%) and rainfall (37 - 73 mm). Results further revealed that at 13 WAS, SAMCOT-8 had low incidence (66%) and severity (39%) in Yola. This was against the much higher corresponding incidence and severity of 82% and 42% respectively that was observed in Mubi during the same period. SAMCOT-10 and SAMCOT-9 varieties were found to be highly susceptible to the disease at the same period. SAMCOT-8 recorded the highest yield of 390.00 kg?ha?1 in Yola and 868.09 kg?ha?1 in Mubi while the lowest yields of 227.17 kg?ha?1 was observed on SAMCOT-10 in Yola while 461.61 kg?ha?1 was obtained on SAMCOT-9 in Mubi. The variation in yield among these varieties might be due to the differences in their reactions to the disease. There is a need to conduct further trials in these locations to confirm the level of resistance or other aspects of these varieties to the disease.",10.4236/wjet.2015.33b004,http://oar.icrisat.org/id/eprint/8972,2015-08,World Journal of Engineering and Technology,2331-4222,Scientific Research Publishing Inc,3,3B,angular leaf spot; cotton; rainfall; relative humidity; disease incidence; disease severity; climate change,,19-25
An integrated crop model and GIS decision support system for assisting agronomic decision making under climate change,"Kadiyala, M D M; Nedumaran, S; Singh, P; Chukka, S; Irshad, M A; Bantilan, M C S",ICRISAT (Patancheru),"The semi-arid tropical (SAT) regions of India are suffering from low productivity which may be further aggravated by anticipated climate change. The present study analyzes the spatial variability of climate change impacts on groundnut yields in the Anantapur district of India and examines the relative contribution of adaptation strategies. For this purpose, a web based decision support tool that integrates crop simulation model and Geographical Information System (GIS) was developed to assist agronomic decision making and this tool can be scalable to any location and crop. The climate change projections of five global climate models (GCMs) relative to the 1980–2010 baseline for Anantapur district indicates an increase in rainfall activity to the tune of 10.6 to 25% during Mid-century period (2040–69) with RCP 8.5. The GCMs also predict warming exceeding 1.4 to 2.4 °C by 2069 in the study region. The spatial crop responses to the projected climate indicate a decrease in groundnut yields with four GCMs (MPI-ESM-MR, MIROC5, CCSM4 and HadGEM2-ES) and a contrasting 6.3% increase with the GCM, GFDL-ESM2M. The simulation studies using CROPGRO-Peanut model reveals that groundnut yields can be increased on average by 1.0%, 5.0%, 14.4%, and 20.2%, by adopting adaptation options of heat tolerance, drought tolerant cultivars, supplemental irrigation and a combination of drought tolerance cultivar and supplemental irrigation respectively. The spatial patterns of relative benefits of adaptation options were geographically different and the greatest benefits can be achieved by adopting new cultivars having drought tolerance and with the application of one supplemental irrigation at 60 days after sowing.",10.1016/j.scitotenv.2015.03.097,http://oar.icrisat.org/id/eprint/8857,2015-07-15,Science of The Total Environment,0048-9697,Elsevier,521–52,,climate change factors; crop simulation; dssat; virtual cultivars; yield; climate change,,123-134
Application of genomics-assisted breeding for generation of climate resilient crops: Progress and prospects,"Kole, C; Muthamilarasan, M; Henry, R; Edwards, D; Sharma, R; Abberton, M; Batley, J; Bentley, A; Blakeney, M; Bryant, J; Cai, H; Cakir, M; Cseke, L J; Cockram, J; Oliveira, A C; Pace, C D; Dempewolf, H; Ellison, S; Gepts, P; Greenland, A; Hall, A; Hori, K; Hughes, S; Humphreys, M W; Iorizzo, M; Ismail, A M; Marshall, A; Mayes, S; Nguyen, H T; Ogbonnaya, F C; Ortiz, R; Paterson, A H; Simon, P W; Tohme, J; Tuberosa, R; Valliyodan, B; Varshney, R K; Wullschleger, S D; Yano, M; Prasad, M",Bidhan Chandra Krishi Viswavidyalaya (India); National Institute of Plant Genome Research (India); University of Queensland (Australia); International Institute of Tropical Agriculture (South Africa); The John Bingham Laboratory (UK); Centre for Commercial Law Studies (UK); Hatherly Laboratories (UK); Forage Crop Research Institute (Japan); China Agricultural University (China); Murdoch University (Australia); University of Alabama in Huntsville (USA); John Bingham Laboratory (UK); Plant Genomics Center (Brazil); University of Tuscia (Italy); Global Crop Diversity Trust (Italy); University of Wisconsin (USA); University of California (USA); Lindsay Lane (USA); National Institute of Agrobiological Sciences (Japan); Aberystwyth University (UK); International Rice Research Institute (Philippines); University of Nottingham (UK); University of Missouri (USA); Grains Research and Development Corporation (Australia); Swedish University of Agricultural Sciences (Sweden); University of Georgia (USA); Centro International de Agricultura Tropical (Colombia); Department of Agroenvironmental Sciences and Technology (Italy); ICRISAT (Patancheru); Oak Ridge National Laboratory (USA); Institute of Crop Science (Japan),"Climate change affects agricultural productivity worldwide. Increased prices of food commodities are the initial indication of drastic edible yield loss, which is expected to surge further due to global warming. This situation has compelled plant scientists to develop climate change-resilient crops, which can withstand broad-spectrum stresses such as drought, heat, cold, salinity, flood and submergence, and pests along with increased productivity. Genomics appears to be a promising tool for deciphering the stress responsiveness of crop species with adaptation traits or in wild relatives towards identifying underlying genes, alleles or quantitative trait loci. Molecular breeding approaches have been proven helpful in enhancing the stress adaptation of crop plants, and recent advancement in next-generation sequencing along with high-throughput sequencing and phenotyping platforms have transformed molecular breeding to genomics-assisted breeding (GAB). In view of this, the present review elaborates the progress and prospects of GAB in improving climate change resilience in crop plants towards circumventing global food insecurity.",10.3389/fpls.2015.00563,http://oar.icrisat.org/id/eprint/8865,2015-07,Frontiers in Plant Science,1664-462X,Frontiers,,,climate change; crop improvement; stress tolerance; breeding; genomics,,
Pearl Millet Improvement for enhanced productivity-strategies and impact,"Rai, K N; Gupta, S K; Govindaraj, M; Yadav, H P",ICRISAT (Patancheru); AICMIP (Jodhpur),"With the continuing
degradation of namral resource
base, adverse climate change effects
on crop production and increasing
crop cultivation cost, there is growing
awareness of the s ig nifi cant role ,
pearl millet can play in addressing the
national food security. Further, with
the increasing incidence of various
li fe style diseases and emphasis on
food-based solutions, there is a reappra
isal of its nutr iti ve value
contributing to nutriti onal security.
Considering the relatively limited
investments both from public and
private sector in pearl millet
improvement in India, and negligible
strategic resea rch information
generated elsewhere) it is pnldent to
rationalize research priorities in terms
of target environments, germplasm to
be used, plant traits to be improved,
and cultivar types to be developed, all
o f which contribute to enhanced
breeding efficiency and improved
cultivar development.",,http://oar.icrisat.org/id/eprint/9247,2015-07,Indian Farming,0019-4786,ICAR,65,4,pearl millet; cereals; germ plasm collection; germ plasm,,19-22
How good is good enough? Data requirements for reliable crop yield simulations and yield-gap analysis,"Grassini, P; Bussel, L G J V; Wart, J V; Wolf, J; Claessens, L; Yang, H; Boogaard, H; Groote, H D; Ittersum, M K V; Cassman, K G","University of Nebraska-Lincoln (Lincoln); Plant Production Systems Group, Wageningen University (Wageningen); ICRISAT (Nairobi); Soil Geography and Landscape Group, Wageningen University (Wageningen); Alterra, Wageningen University and Research Centre (Wageningen)","Numerous studies have been published during the past two decades that use simulation models to assess crop yield gaps (quantified as the difference between potential and actual farm yields), impact of climate change on future crop yields, and land-use change. However, there is a wide range in quality and spatial and temporal scale and resolution of climate and soil data underpinning these studies, as well as widely differing assumptions about cropping-system context and crop model calibration. Here we present an explicit rationale and methodology for selecting data sources for simulating crop yields and estimating yield gaps at specific locations that can be applied across widely different levels of data availability and quality. The method consists of a tiered approach that identifies the most scientifically robust requirements for data availability and quality, as well as other, less rigorous options when data are not available or are of poor quality. Examples are given using this approach to estimate maize yield gaps in the state of Nebraska (USA), and at a national scale for Argentina and Kenya. These examples were selected to represent contrasting scenarios of data availability and quality for the variables used to estimate yield gaps. The goal of the proposed methods is to provide transparent, reproducible, and scientifically robust guidelines for estimating yield gaps; guidelines which are also relevant for simulating the impact of climate change and land-use change at local to global spatial scales. Likewise, the improved understanding of data requirements and alternatives for simulating crop yields and estimating yield gaps as described here can help identify the most critical “data gaps” and focus global efforts to fill them. A related paper (Van Bussel et al., 2015) examines issues of site selection to minimize data requirements and up-scaling from location-specific estimates to regional and national spatial scales.",10.1016/j.fcr.2015.03.004,http://oar.icrisat.org/id/eprint/8910,2015-06,Field Crops Research,0378-4290,Elsevier,177,,crop simulation; yield gap; yield potential; weather data; cropping system,,49-63
High temperature tolerance in grain legumes,"Gaur, P M; Samineni, S; Krishnamurthy, L; Kumar, Shiv; Ghanem, M E; Beebe, S; Rao, I; Chaturvedi, S K; Basu, P S; Nayyar, H; Jayalakshmi, V; Babbar, A; Varshney, R K",ICRISAT(Patancheru); ICARDA (Rabat); CIAT (Cali); Indian Institute of Pulses Research (Kanpur); Panjab University (Chandigarh); Regional Agricultural Research Station (Nandyal); Jawaharlal Nehru Agricultural University (Jabalpur),"High temperature stress (or heat stress) during reproductive stages is becoming aserious constraint toproductivity of grain legumes as their cultivation is expanding to warmer environments and temperature variability is increasing due to climate change.Large genetic variations exist ingrainlegumesforheat tolerance whichcan be exploited for development of locally adapted heat tolerant cultivars. Heat tolerant cultivars will be more resilient to the impacts of climate change, allow flexibility in sowing dates and enhance opportunities for expanding area of grain legumes to new nichesand croppingsystems.",http://www.ias.csic.es/grainlegumesmagazine/,http://oar.icrisat.org/id/eprint/8683,2015-04,Legume Perspectives,2340-1559,International Legume Society (ILS),,7,chickpea; common bean; faba bean; heatstress; lentil,,23-24
