Title,Authors,Abstract,Funder,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Journal,ISSN,Publisher,Pages,Subjects,Type
How climate change interacts with inequity to affect nutrition,"Salm, Leah; Nisbett, Nicholas; Cramer, Laura; Gillespie, Stuart; Thornton, Philip","Climate change poses a growing threat to the achievement of optimal nutritional status, both directly through affecting food production and indirectly through altering social and economic influences in people's lives. These adverse nutrition outcomes are not evenly distributed across the world, and vulnerable populations are the most impacted. Understanding how different forms of inequity interact with climate change and adverse nutritional outcomes is a novel area of research in today's challenging environment of increased climate change pressures. This article presents the results of a systematic literature search undertaken to identify the connections, trends and pathways between climate change, inequity and nutrition outcomes. Forty‐six peer‐reviewed studies are identified that explore these complex interactions with a specific focus on the extent to which equity is a fundamental component of climate change and nutrition research. The pathways captured in this body of evidence are mapped to current framework thinking to identify trends and gaps. While there is a trend for studies to acknowledge an unfair distribution of vulnerability to adverse nutrition outcomes, there is less attention given to the (lack of) recognition of the social situations which increase these groups' vulnerability and the absence of representation or inclusion of these groups as vital decision‐makers. Studies that do incorporate these core dimensions of equity take mixed‐method and qualitative approaches. This highlights an inherent value in stepping outside the usual scope of empirical climate change research, one that incorporates the voices of those most affected.",,English,10.1002/wcc.696,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7543,2021,Wiley Interdisciplinary Reviews: Climate Change,1757-7799,John Wiley & Sons,Wiley Interdisciplinary Reviews: Climate Change 12(2): e696,nutrition; climate change; systematic reviews; equity; greenhouse gas emissions,Journal article
How does climate change affect poor people in Africa?,"Azzarri, Carlo; Signorelli, Sara","Our planet is warming up! That doesn’t mean we will have nicer weather, though. It means we have weather events that are more extreme. Floods, droughts, and heatwaves are more powerful and are happening more often. People lose their homes, jobs, and eat less food. And poor people suffer the most! People who are very poor do not have enough resources to handle the effects of extreme weather events. To help them in the future, we need a good understanding of what is happening now. We studied one of the poorest regions in the world, sub-Saharan Africa (SSA). We analyzed data from thousands of families living all across the continent and looked at what happens to them when extreme weather events occur. We found that floods had a worse impact than heatwaves and droughts. Finally, we predicted that because of climate change, the number of people living in poverty there could increase in 10 years. Our results could be very useful for planning ways to help people in Africa. ",Bill and Melinda Gates Foundation,English,,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7231,2020,Environmental Science Journal for Teens,2575-9426,Science Journal for Kids,Environmental Science Journal for Teens May 2020,climate; climate change; poverty; data; surveys; weather shocks,Journal article
How to prevent and cope with coincidence of risks to the global food system,"Fan, Shenggen; Cho, Emily EunYoung; Meng, Ting; Rue, Christopher",,National Natural Science Foundation of China,English,10.1146/annurev-environ-012220-020844,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7732,2021,Annual Review of Environment and Resources,1543-5938,Annual Reviews,Annual Review of Environment and Resources 46: 601-623,risk; food systems; food security; climate change; storms; food prices; nutrition; diet; trade; coincidence of risks; perfect storms,Journal article
"Hunger, nutrition, and precipitation: Evidence from Ghana and Bangladesh","Cooper, Matthew; Brown, Molly E.; Azzarri, Carlo; Meinzen-Dick, Ruth Suseela","Changing precipitation patterns caused by climate change are expected to have major impacts on food security and nutrition in agrarian areas in developing countries. However, the linkages between the duration and severity of precipitation shocks and their effects on child nutrition and household food security metrics remain underexplored. In this study, we used Feed the Future datasets from Ghana and Bangladesh to examine the impact of precipitation extremes on nutrition, measured by children’s height-for-age and weight-for-height Z-scores, and food security, measured by the Household Hunger Scale. We used a spatial error regression to control for the effects of spatial autocorrelation, and we found an association between precipitation shocks and household hunger in both Ghana and Bangladesh, as well as an association between higher rainfall and worse child nutrition in Ghana.",United States Agency for International Development USAID,English,10.1007/s11111-019-00323-8,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6788,2019,Population and Environment,0199-0039,Springer,Population and Environment 41: 151-208,famine; nutrition; precipitation; child nutrition; climate change; food security; hunger; spatial error; regression,Journal article
Hydropower versus irrigation—an analysis of global patterns,"Zeng, Ruijie; Cai, Ximing; Ringler, Claudia; Zhu, Tingju",,,English,10.1088/1748-9326/aa5f3f,Open Access,https://creativecommons.org/licenses/by/3.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5723,2017,Environmental Research Letters,,,Environmental Research Letters 12(3): 034006,water power; hydroelectric power; water reservoirs; hydraulic structures; energy; food security; irrigation; machine learning; flood control; climate change; climate change mitigation; food production; economic growth; population; irrigation sources,Journal article
Impact of climate change on agriculture in Kazakhstan,"Islyami, Aidan; Aldashev, Alisher; Thomas, Timothy S.; Dunston, Shahnila","Using the Global IMPACT model, we investigate the probable effect of climate change on the performance of agriculture and socio-economic conditions in Kazakhstan under five climate-change scenarios. These include a baseline and four climate-change scenarios (MIROC, Hadgem, GFDL, and IPSL) from the Intergovernmental Panel on Climate Change (IPCC). More specifically, we focus on climate-change impact on the production of wheat, potatoes, cotton, maize, rice, and barley. The results suggest that increased temperatures and precipitation will hurt spring crop yields such as wheat and barley. Climate change will probably positively impact the yields of winter varieties of wheat and barley and enable farmers to practise multiple cropping during a farming season. Rice yield is also expected to increase due to climate change, but the yield of potatoes is projected to be adversely affected. Therefore, climate change will be one of the critical challenges for improving agricultural productivity, household welfare, and ensuring food and nutrition security in Kazakhstan.",,English,10.16997/srjed.19,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7625,2020,Silk Road: A Journal of Eurasian Development,2631-682X,University of Westminster Press,Silk Road: A Journal of Eurasian Development 2(1): 66–88,models; climate change; agriculture; agricultural productivity; households; food policies; policies; nutrition; food security; rice; potatoes; crops; yields; maize; cotton; impact model,Journal article
Impact of temperature on electricity demand: Evidence from Delhi and Indian states,"Harish, Santosh; Singh, Nishmeet; Tongia, Rahul",,,English,10.1016/j.enpol.2020.111445,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7325,2020,Energy Policy,0301-4215,Springer,Energy Policy 140(May 2020): 111445,electricity; climate change; cooling; households; temperature; weather shocks; electricity demand; billing data,Journal article
"Impacts of climate change, policy and Water-Energy-Food nexus on hydropower development","Zhang, Xiao; Li, Hong-Yi; Deng, Zhiqun Daniel; Ringler, Claudia; Gao, Yang; Hejazi, Mohamad I.; Leung, L. Ruby; ",,,English,10.1016/j.renene.2017.10.030,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5979,2018,Renewable Energy,,Elsevier,Renewable Energy 116(Part A): 827-834,water power; climate change; sustainability; energy; water power; water-food-energy nexus,Journal article
Impacts of observed growing-season warming trends since 1980 on crop yields in China,"Xiong, Wei; Holman, Ian P.; You, Liangzhi; Yang, Jie; Wu, Wenbin",,,English,10.1007/s10113-013-0418-6,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4212,2014,Regional Environmental Change,,,Regional Environmental Change 14(1): 7-16,climate change; environmental impact; crop yield; impact; climatic data; climate warming,Journal article
Impacts of road expansion on deforestation and biological carbon loss in the Democratic Republic of Congo,"Li, Man; De Pinto, Alessandro; Ulimwengu, John M.; You, Liangzhi; Robertson, Richard D.",,,English,10.1007/s10640-014-9775-y,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4439,2015,Environmental and Resource Economics,,,Environmental and Resource Economics 60(3): 433-469,land use; deforestation; crops; road construction; greenhouse gases; emission; climate change; crop allocation,Journal article
Implications of climate change for Ghana’s economy,"Arndt, Channing; Asante, Felix A.; Thurlow, James",,,English,10.3390/su7067214,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5175,2015,Sustainability,,,Sustainability 7(6): 7214 - 7231,climate change; economic impacts; cge model,Journal article
In pursuit of more fruitful food systems,"Sulser, Timothy B.; Wiebe, Keith D.; Gustafson, David; Asseng, Senthold; Fraisse, Clyde; Guan, Kaiyu","Recent analyses suggest that global fruit and vegetable (F&V) production will need to increase by 50–150% by 2050 to achieve sustainable and healthy diets for all 10 billion people expected to inhabit the world (Stratton et al. 2021). Meeting this increased demand will be very difficult due to numerous factors, including the scarcity of labor, dwindling water supplies for irrigation, and climate change. We have just completed a 5-year project (Agriculture and Food Systems Institute 2022) that began to tackle this daunting challenge: fruit and vegetable supply chains: climate adaptation and mitigation opportunities. We identified and tested climate adaptation and mitigation strategies in these supply chains through the development and application of a novel integrated methodology that included climate, crop, economic, and life cycle assessment (LCA) models, following protocols developed by the Agricultural Model Intercomparison and Improvement Project (AgMIP) (https://agmip.org/). Consistent with AgMIP standards, our modeling tools are for open use and are broadly applicable to other crops and regions, subject to normal input data requirements.",U.S. Department of Agriculture,English,10.1007/s11367-022-02101-5,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8394,2022,International Journal of Life Cycle Assessment,0948-3349,Springer,International Journal of Life Cycle Assessment 27: 1267-1269,fruits; vegetables; production; sustainability; healthy diets; demand; population; labor supply; water supplies; irrigation; climate change; supply chains; adaptation; mitigation; models; life cycle assessment (lca) models; impact model,Journal article
Income growth and climate change effects on global nutrition security to mid-century,"Nelson, Gerald; Bogard, Jessica; Lividini, Keith; Arsenault, Joanne; Riley, Malcolm; Sulser, Timothy B.; Wiebe, Keith D.; Rosegrant, Mark W.",,CSIRO Science Leaders Programme; Bill and Melinda Gates Foundation; World Food Center at UC Davis;  ILSI Research Foundation; ,English,10.1038/s41893-018-0192-z,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6522,2018,Nature Sustainability,,Nature Publishing Group,Nature Sustainability 1(12): 773-781,income; climate change; nutrition; economic growth; food security; diet; nutrient excesses; nutrient deficiencies; commodities; trade; food supply; technological changes; commodity markets; resource management; economic development; prices; malnutrition; impact model,Journal article
Incorporating process-based crop simulation models into global economic analyses,"Robertson, Richard D.; Nelson, Gerald C.; Thomas, Timothy S.; Rosegrant, Mark W.",,,English,10.1093/ajae/aas034,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3574,2013,American Journal of Agricultural Economics,,,American Journal of Agricultural Economics 95(2): 228-235,climate change; process model; crop model; impact model,Journal article
Increasing social-ecological resilience within small-scale agriculture in conflict-affected Guatemala,"Hellin, Jon; Ratner, Blake D.; Meinzen-Dick, Ruth Suseela; Lopez-Ridaura, Santiago","Climate change scenarios suggest largely detrimental impacts on agricultural production from a deterioration of renewable natural resources. Over the last 15 years, a new field of research has focused on the interactions between climate and conflict risk, particularly as it relates to competition over natural resources and livelihoods. Within this field, there has been less attention to the potential for resource competition to be managed in ways that yield greater cooperation, local adaptation capacity, social-ecological resilience, and conflict mitigation or prevention. The challenge of increasing social-ecological resilience in small-scale agriculture is particularly acute in the socioeconomically and agroecologically marginalized Western Highlands of Guatemala. Not only is climate change a threat to agriculture in this region, but adaptation strategies are challenged by the context of a society torn apart by decades of violent conflict. Indeed, the largely indigenous population in the Western Highlands has suffered widespread discrimination for centuries. The armed conflict has left a legacy of a deeply divided society, with communities often suspicious of outsider interventions and in many cases with neighbors pitted against each other. We use the example of the Buena Milpa agricultural development project to demonstrate how grassroots approaches to collective action, conflict prevention, and social-ecological resilience, linking local stakeholder dynamics to the broader institutional and governance context, can bear fruit amidst postconflict development challenges. Examples of microwatershed management and conservation of local maize varieties illustrate opportunities to foster community-level climate adaptation strategies within small-scale farming systems even in deeply divided societies.",United States Agency for International Development USAID,English,10.5751/es-10250-230305,Open Access,https://creativecommons.org/licenses/by-nc/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6300,2018,Ecology and Society,,The Resilience Alliance,Ecology and Society 23(3): 5,agriculture; climate change; collective behaviour; conflict; resilience; grassroots organizations; case studies; natural resources management; climate change adaptation,Journal article
"Indigenous knowledge systems and indicators of rain: Evidence from Rwenzori Region, Western Uganda","Nkuba, Michael Robert; Chanda, Raban; Mmopelwa, Gagoitseope; Mangheni, Margaret Najjingo; Lesolle, David; Kato, Edward","This study investigated the abiotic and biotic environmental indicators used among pastoralists and arable farmers to predict the onset and cessation of rain as well as to make short-term and seasonal forecasts in the Rwenzori region of Western Uganda. We used a mixed-methods approach that included surveys of 907 households, focus group discussions, and key informant interviews. The results indicate that resident birds such as white-browed coucals and turacos and migrant birds such as eagles and swallows were important indicators of the onset of rains. Butterflies were an important indicator for the cessation of rains, and red ants were an indicator for the onset of rains. Among the abiotic indicators, winds, clouds, earthquakes, and cloud formation on Mount Rwenzori were important indicators. Behavior of cattle at the onset of rains was important among the pastoralists, and flowering of coffee plants was important among the arable farmers. The behavior of the biotic indicators was driven by the availability of food, water, or other necessities. An attempt to explain the phenology underlying the behavior of biotic indicators and the meteorological science underlying some of the abiotic indicators is made. Although biotic environmental indicators are rudimentary and their accuracy is influenced by external factors such as climate change, they provide climate information within the locality of the farmers. Our results suggest that the indicators used in indigenous forecasting could be incorporated in national meteorological systems in a bid to improve the accuracy of rainfall forecasts and their use among farmers and pastoralists in rural Africa.",,English,10.1175/wcas-d-19-0027.1,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7308,2020,"Weather, Climate, and Society",,American Meteorological Society,"Weather, Climate, and Society 12(2): 213–234",indigenous knowledge; knowledge based systems; rain; biotic factors; arable farming; climate change,Journal article
"Influence of indigenous knowledge and scientific climate forecasts on arable farmers’ climate adaptation methods in the Rwenzori region, western Uganda","Nkuba, Michael Robert; Chanda, Raban; Mmopelwa, Gagoitseope; Kato, Edward; Mangheni, Margaret Najjingo; Lesolle, David",,,English,10.1007/s00267-020-01264-x,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7102,2020,Environmental Management,0364-152X,Springer,Environmental Management 65: 500–516,indigenous knowledge; climate; climate change; climate change adaptation; forecasting; arable farming; rural areas; land tenure; crop production; information; land rights; climate information; indigenous forecasts,Journal article
Informing climate policy through institutional collaboration: reflections on the preparation of Colombia’s nationally determined contribution,"De Pinto, Alessandro; Loboguerrero, Ana Maria; Londoño, Mario; Sanbria, Katherine Ovalle; Castaño, Rodrigo Suarez",,,English,10.1080/14693062.2017.1321521,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5844,2018,Climate Policy,1469-3062,,Climate Policy 18(5): 612-626,climate change; mitigation; governance; policies; institutions; intended nationally determined contributions; mitigation strategies; policy-oriented research,Journal article
"Institutional and policy process for climate-smart agriculture: Evidence from Nagaland State, India","Patra, Nirmal K.; Babu, Suresh Chandra","A critical global policy question is how the environmental management interventions could be repurposed to meet the sustainable development goals and their target for food security, climate protection, and environmental sustainability. A common challenge facing food systems in developing countries is to improve agricultural productivity to ensure food security for all without increasing the emission of greenhouse gases (GHGs) from agriculture. Climate-smart agriculture (CSA) approaches help to reduce GHG emissions from agriculture and address the challenges of climate change (CC) and food insecurity. Yet, CSA lack understanding of the institutional arrangements and policy processes. This paper examines 38 aspects to assess the institutional and policy status for CC mitigation and adaptation and CSA in Nagaland, India. Furthermore, we use these aspects to develop a scale to measure the policy and institutional environment for mitigation and adaptation of CC and implementation of CSA. Nagaland is relatively in a better position in nine aspects, although it can improve. Methodologically, the scale developed in this paper and the identified factors can help study the institutional and policy status of a country, state, or region. We identify several implications for understanding CC and CSA institutions and policies for informing policy research and practice.",Indian Council of Agricultural Research,English,10.2166/wcc.2022.024,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8518,2023,Journal of Water & Climate Change,2040-2244,IWA Publishing,Journal of Water & Climate Change 14(1),policies; environmental management; interventions; sustainable development goals; food security; climate change; environmental sustainability; food systems; developing countries;  agricultural productivity; food security; greenhouse gas emissions; agriculture; climate-smart agriculture,Journal article
Integrated description of agricultural field experiments and production,"White, Jeffrey W.; Hunt, L.A.; Boote, Kenneth J.; Jones, James W.; Koo, Jawoo; Kim, Soonho; Porter, Cheryl H.; Wilkens, Paul W.; Hoogenboom, Gerrit",,,English,10.1016/j.compag.2013.04.003,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3985,2013,Computers and Electronics in Agriculture,,,Computers and Electronics in Agriculture 96(August 2013): 1-12,climate change; databases; data management; crop modeling; software,Journal article
Integrating groundwater irrigation into hydrological simulation of India: Case of improving model representation of anthropogenic water use impact using GRACE,"Xie, Hua; Longuevergne, L.; Ringler, Claudia; Scanlon, B. R.","India boasts the largest irrigated agricultural system in the world relying on groundwater. To address the strong linkages between the natural groundwater and the anthropogenic irrigated system requires innovative hydrological modeling geared at informing national policies on groundwater management and future development of irrigated agriculture. For this, we developed a predictive, integrated hydrological and groundwater use model and evaluated the model using total water storage (TWS) data from the Gravity Recovery and Climate Experiment (GRACE). The utility of the model was demonstrated in a case study in which the model was applied to project the groundwater balance in northwest India under four RCP (Representative Concentration Pathways) scenarios.",,English,10.1016/j.ejrh.2020.100681,Open Access,https://creativecommons.org/licenses/by-nc-nd/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7198,2020,Journal of Hydrology: Regional Studies,2214-5818,Elsevier,Journal of Hydrology: Regional Studies 29(June 2020): 100681,groundwater; irrigation; models; anthropogenic factors; climate; climate change; water; groundwater irrigation; gravity recovery and climate experiment (grace); soil and water assessment tool (swat),Journal article
International trade buffers the impact of future irrigation shortfalls,"Liu, Jing; Hertel, Thomas W.; Taheripour, Farzad; Zhu, Tingju; Ringler, Claudia",,,English,10.1016/j.gloenvcha.2014.07.010,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4551,2014,Global Environmental Change,,,Global Environmental Change 29(November 2014): 22-31,climate change; trade; irrigation availability; international agricultural trade; water; food nexus; computable general equilibrium (cge) modeling,Journal article
Interpretation of climate change and agricultural adaptations by local household farmers,"Yu, Qiang-Yi; Wu, Wen-Bin; Liu, Zhen-Huan; Verburg, Peter H.; Xia, Tian; Yang, Peng; Lu, Zhong-Jun; You, Liangzhi; Tang, Hua-Jun",,,English,10.1016/s2095-3119(14)60805-4,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4557,2014,Journal of Integrative Agriculture,,,Journal of Integrative Agriculture 13(7): 1599-1608,perception; adaptation; surveys; climate change; agriculture,Journal article
"Introduction to the special issue “Scaling up of agroforestry innovations: Enhancing food, nutrition and income security”","Seghieri, Josiane; Droy, Isabelle; Hadgu, Kiros; Place, Frank","It is more and more acknowledged that agroecological innovations, such as agroforestry practices, should be co-created through a combination of research and traditional knowledge, be context adaptable, and meet the needs of producers and consumers. The word “innovation” recognises that agroforestry practices do exist everywhere in the world. However, to be able to effectively respond to global challenges and changes (demography and social changes, climate, local to international markets), speaking about ""innovations"" implies that these practices could be improved or transformed or reintroduced everywhere they had disappeared or are in decline. This reality is still current despite the significant number of research and innovation programmes, the volume of mobilized funds and the number of participating organizations. Increasing adoption of agroforestry practices also requires long term planning and coordination because trees’ life cycles are often longer than human life. This special issue includes papers on some agroforestry innovations that merit consideration for scaling up, on successful experiences that answer priorities expressed by stakeholders while taking into account their constraints, and on systemic approaches and frameworks to the development of more comprehensive perspectives on scaling up.",,English,10.1007/s10457-021-00689-5,Free Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7998,2021,Agroforestry Systems,0167-4366,Springer,Agroforestry Systems 95(7): 1245-1249,climate change; climate change adaptation; agroecology; resilience; sustainable development; sustainability; livelihoods; innovation; co-created innovative practices; livelihoods improvement,Journal article
"Irrigation, risk aversion, and water right priority under water supply uncertainty","Li, Man; Xu, Wenchao; Rosegrant, Mark W.","This paper explores the impacts of a water right's allocative priority—as an indicator of farmers' risk-bearing ability—on land irrigation under water supply uncertainty. We develop and use an economic model to simulate farmers' land irrigation decision and associated economic returns in eastern Idaho. Results indicate that the optimal acreage of land irrigated increases with water right priority when hydroclimate risk exhibits a negatively skewed or right-truncated distribution. Simulation results suggest that prior appropriation enables senior water rights holders to allocate a higher proportion of their land to irrigation, 6 times as much as junior rights holders do, creating a gap in the annual expected net revenue reaching up to $141.4 acre−1 or $55,800 per farm between the two groups.",Bill and Melinda Gates Foundation; National Natural Science Foundation of China; Fundamental Research Funds for the Central Universities; National Natural Science Foundation of China,English,10.1002/2016wr019779,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5940,2017,Water Resources Research,,,Water Resources Research 53(9): 7885-7903,water availability; water rights; irrigation; water management; agricultural economics; climate change; institutional water sharing arrangements,Journal article
Is an epic pluvial masking the water insecurity of the greater New York city region?,"Pederson, Niel; Bell, Andrew; Cook, Edward; Lall, Upmanu; Devinemi, Naresh; Seager, Richard; Eggleston, Keith; Vranes, Kevin J.",,,English,10.1175/jcli-d-11-00723.1,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3838,2013,Journal of Climate,,American Meteorological Society,Journal of Climate 26(4): 1339-1354,climate change; weather; water security,Journal article
Key determinants of global land-use projections,"Stehfest, Elke; van Zeist, Willem-Jan; Valin, Hugo; Havlik, Petr; Popp, Alexander; Mason-D’Croz, Daniel; Wiebe, Keith D.","Land use is at the core of various sustainable development goals. Long-term climate foresight studies have structured their recent analyses around five socio-economic pathways (SSPs), with consistent storylines of future macroeconomic and societal developments; however, model quantification of these scenarios shows substantial heterogeneity in land-use projections. Here we build on a recently developed sensitivity approach to identify how future land use depends on six distinct socio-economic drivers (population, wealth, consumption preferences, agricultural productivity, land-use regulation, and trade) and their interactions. Spread across models arises mostly from diverging sensitivities to long-term drivers and from various representations of land-use regulation and trade, calling for reconciliation efforts and more empirical research. Most influential determinants for future cropland and pasture extent are population and agricultural efficiency. Furthermore, land-use regulation and consumption changes can play a key role in reducing both land use and food-security risks, and need to be central elements in sustainable development strategies.",Ministry of Environment of Japan; European Commission,English,10.1038/s41467-019-09945-w,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6664,2019,Nature Communications,2041-1723,,Nature Communications 10: 2166,land use; farmland; pastures; trade; agricultural productivity; commodities; food security; climate change; technological changes;  economic development; prices; land-use projections; land-use regulation; food demand; agriculture production; impact model,Journal article
Key drivers of Indian greenhouse gas emissions,"Karstensen, Jonas; Roy, Joyashree; Pal, Barun Deb; Peters, Glen; Andrew, Robbie",,Research Council of Norway,English,,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7196,2020,Economic and Political Weekly,0012-9976,,Economic and Political Weekly 55(15): 46-53,greenhouse gas emissions; energy consumption; environmental factors; climate; climate change; energy; economic growth,Journal article
Land use change and soil carbon sequestration in China,"Li, Man; Wu, JunJie; Deng, Xiangzheng",,,English,10.1007/s10113-016-0948-9,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5356,2016,Regional Environmental Change,,,Regional Environmental Change 16(8): 2429 – 2441,land conservation; climate change; land use change; soil carbon sequestration,Journal article
Land-use change trajectories up to 2050,"Schmitz, Christoph; van Meijl, Hans; Kyle, Page; Nelson, Gerald C.; Fujimori, Shinichiro; Gurgel, Angelo; Havlik, Petr; Heyhoe, Edwina; Mason d'Croz, Daniel; Popp, Alexander; Sands, Ron; Tabeau, Andrzej; van der Mensbrugghe, Dominique; von Lampe, Martin; Wise, Marshall; Blanc, Elodie; Hasegawa, Tomoko; Kavallari, Aikaterini; Valin, Hugo",,,English,10.1111/agec.12090,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4389,2014,Agricultural Economics,,,Agricultural Economics 45(1): 69-84,land use; land use mapping; land use planning; protected areas; resource management; economic development; prices; nutrition; malnutrition; commodities; trade; food supply; food security; climate change; technological changes; commodity markets; model intercomparison; land use models; land expansion; impact model,Journal article
"Linking global CGE models with sectoral models to generate baseline scenarios: Approaches, challenges, and opportunities","Delzeit, Ruth; Beach, Robert; Bibas, Ruben; Britz, Wolfgang; Chateau, Jean; Freund, Florian; Lefevre, Franziska Schuenemann; Sulser, Timothy; Valin, Hugo; van Ruijven, Bas; Weitzel, Matthias; Willenbockel, Dirk; Wojtowicz, Krzysztof","When modelling medium and long-term challenges we need a reference path of economic development (the so-called baseline). Because sectoral models often offer a more fundamental understanding of future developments for specific sectors, many CGE modeling teams have adopted different kinds of linking approaches to sectoral models to generate baselines. We systematically compare and discuss approaches of linking CGE models for the baseline calibration procedure, and discuss best practices and pitfalls. We identify different types of linking approaches which we divide into a) links with partial equilibrium models, and b) links with non-economic models. These two types of linking approaches are then analyzed with respect to e.g. the degree of linkage, information exchanged, as well as compromises in aggregations and definitions. Based on this, we discuss potential drawbacks and conclude with suggestions for best practices and research recommendations.",,English,10.21642/jgea.050105af,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7299,2020,Journal of Global Economic Analysis,2377-2999,,Journal of Global Economic Analysis 5(1): 162-195,models; modelling; commodities; trade; climate change; prices; impact model; computable general equilibrium (cge) model; model linking baseline scenario; partial equilibrium model,Journal article
Linking regional stakeholder scenarios and shared socioeconomic pathways: Quantified West African food and climate futures in a global context,"Palazzo, Amanda; Vervoort, Joost M.; Mason-D’Croz, Daniel; Rutting, Lucas; Havlík, Petr; Islam, Shahnila; Bayala, Jules; Valin, Hugo; Kadi Kadi, Hame; Thornton, Philip; Zougmoré, Robert",,,English,10.1016/j.gloenvcha.2016.12.002,Open Access,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/5740,2017,Global Environmental Change,,,Global Environmental Change 45(July 2017): 227-242,agriculture; climate change; stakeholders; food security; crops; crop yield; yields; productivity; livestock; crop performance; population; population growth; trends; representative agricultural pathways; shared socioeconomic pathways,Journal article
Long-term electricity demand forecast and supply side scenarios for Pakistan (2015-2050): A LEAP model application for policy analysis,"Mirjat, Nayyar Hussain; Uqaili, Muhammad Aslam; Harijan, Khanji; Walasai, Gordhan Das; Mondal, Md. Hossain Alam; Sahin, Hasret",,United States Agency for International Development USAID; ICT Endowment for Sustainable Development Scheme of Mehran University of Engineering & Technology,English,10.1016/j.energy.2018.10.012,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6383,2018,Energy,,Elsevier,Energy 165(Part B): 512-526,electricity; energy generation; climate change adaptation; energy demand; energy policies; shortages; electricity demand and supply; energy and power policy; long-range energy alternatives planning system (leap),Journal article
Long-term optimization of Egypt’s power sector: Policy implications,"Mondal, Md. Hossain Alam; Ringler, Claudia; Al-Riffai, Perrihan; ElDidi, Hagar; Breisinger, Clemens; Wiebelt, Manfred","This paper presents an evaluation of energy supply strategies for Egypt’s power sector and identiﬁesprospects to meet rising electricity demand while addressing energy security and low-carbon devel-opment issues. We apply the TIMES energy system model to examine Egypt’s energy policy goals asreﬂected in Egypt’s Vision 2030, and speciﬁcally: (a) targeted power generation based on renewableenergy under two different scenarios; (b) targeted carbon dioxide (CO2) emission s’ mitigation towardlow-carbon society development; and (c) constraints on natural gas production for power generation.The quantitative results from the model suggest a need for diversiﬁcation from predominantly naturalgas to a mix of renewable and conventional energy sources in order to improve energy security, reducedependency on fossil fuels, and reduce carbon dioxide emissions, with the level of diversiﬁcationchanging with different policy options. Although total energy system cost is projected to increase theeffects on fossil-fuel dependency, diversity of energy supply-mix, marginal electricity generation price,and GHG mitigation indicate that it may be wise to target promotion of renewable energy for powergeneration and develop a low-carbon society",Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung (BMZ),English,10.1016/j.energy.2018.10.158,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6425,2019,Energy,0360-5442,Elsevier,Energy 166: 1063-1073,energy policies; optimization; climate change; renewable energy; energy demand; technology; energy security; times model,Journal article
